ExptNo_norm,Dia_in,Length_in,L_over_D,G_raw,G_kg_m2_s,InletSubcool_BTUlb,qM,qM_over_Graw,x,flag_norm,lowX_le_005,old86_member
202.01,0.187,12.5,66.84491978609626,2.51,3403.103050311815,223.0,1.85,0.7370517928286854,-0.056,none,True,True
203.01,0.187,12.5,66.84491978609626,2.55,3457.335768245071,186.6,1.51,0.592156862745098,-0.061,none,True,True
204.01,0.187,12.5,66.84491978609626,2.56,3470.893947728385,249.6,1.82,0.7109375,-0.128,none,True,True
205.01,0.187,12.5,66.84491978609626,2.65,3592.917563078211,353.5,2.2,0.8301886792452832,-0.284,none,True,True
206.01,0.187,12.5,66.84491978609626,2.65,3592.917563078211,290.4,2.2,0.8301886792452832,-0.148,none,True,True
207.01,0.187,12.5,66.84491978609626,2.66,3606.475742561525,297.9,1.97,0.7406015037593985,-0.216,none,True,True
208.01,0.187,12.5,66.84491978609626,2.66,3606.475742561525,237.4,1.97,0.7406015037593985,-0.085,none,True,True
209.01,0.187,12.5,66.84491978609626,2.69,3647.150281011467,412.4,2.59,0.9628252788104089,-0.334,none,True,True
210.01,0.187,12.5,66.84491978609626,2.69,3647.150281011467,402.9,2.52,0.9368029739776952,-0.329,none,True,True
211.01,0.187,12.5,66.84491978609626,2.73,3701.382998944723,17.8,0.795,0.29120879120879123,0.13,none,False,True
212.01,0.187,12.5,66.84491978609626,2.78,3769.173896361293,20.3,0.836,0.30071942446043165,0.13,none,False,True
213.01,0.187,12.5,66.84491978609626,2.79,3782.732075844607,514.6,3.16,1.1326164874551972,-0.457,none,True,True
214.01,0.187,12.5,66.84491978609626,2.88,3904.755691194433,57.3,1.06,0.3680555555555556,0.089,none,False,True
215.01,0.187,12.5,66.84491978609626,2.93,3972.546588611004,57.3,0.992,0.3385665529010239,0.072,none,False,True
491.01,0.306,23.25,75.98039215686275,2.04,2765.868614596057,67.0,0.709,0.3475490196078431,0.083,none,False,True
492.01,0.306,23.25,75.98039215686275,2.04,2765.868614596057,68.4,0.715,0.35049019607843135,0.082,none,False,True
493.01,0.306,23.25,75.98039215686275,2.13,2887.8922299458827,91.6,0.801,0.37605633802816907,0.049,none,True,True
494.01,0.306,23.25,75.98039215686275,2.15,2915.0085889125107,64.2,0.72,0.33488372093023255,0.081,none,False,True
495.01,0.306,23.25,75.98039215686275,2.15,2915.0085889125107,65.6,0.716,0.3330232558139535,0.077,none,False,True
496.01,0.306,23.25,75.98039215686275,2.21,2996.3576658123948,95.6,0.82,0.3710407239819004,0.037,none,True,True
497.01,0.306,23.25,75.98039215686275,2.25,3050.590383745651,95.6,0.825,0.36666666666666664,0.034,none,True,True
498.01,0.306,23.25,75.98039215686275,2.25,3050.590383745651,96.9,0.83,0.3688888888888889,0.033,none,True,True
