condition,role,N,G_min,G_max,G_mean,x_min,x_max,x_mean,Tsub_min,Tsub_max,Tsub_mean,PM_mean,PM_median,PM_std,PM_min,PM_max,corr_PM_Tsub,corr_PM_x,corr_PM_G,model,features,R2,intercept,coef_Tsub_K,notes,coef_x_use,coef_G,coef_Gx_pos
C_x_le_0p05_G_gt_4200,main_upper_sensitivity,70,4204.313,10565.0317,6570.35310857143,-0.459,0.05,-0.16998571428571424,20.88259301344499,256.20145638583585,100.39522088351013,1.4286765828189563,1.3279351757683873,0.8772780972918671,0.0735487784385007,3.6053610399898135,0.8184985323343927,-0.9493747871587516,0.2543523795921263,Tsub+x,Tsub_K+x_use,0.9043273566795892,0.6382491519123078,-0.001648862629602771,,-5.623798228158063,,
C_x_le_0p05_G_gt_4200,main_upper_sensitivity,70,4204.313,10565.0317,6570.35310857143,-0.459,0.05,-0.16998571428571424,20.88259301344499,256.20145638583585,100.39522088351013,1.4286765828189563,1.3279351757683873,0.8772780972918671,0.0735487784385007,3.6053610399898135,0.8184985323343927,-0.9493747871587516,0.2543523795921263,Tsub+G,Tsub_K+G,0.7005176516595271,-0.17878213418912825,0.011033464927443018,,,7.606159977231664e-05,
C_x_le_0p05_G_gt_4200,main_upper_sensitivity,70,4204.313,10565.0317,6570.35310857143,-0.459,0.05,-0.16998571428571424,20.88259301344499,256.20145638583585,100.39522088351013,1.4286765828189563,1.3279351757683873,0.8772780972918671,0.0735487784385007,3.6053610399898135,0.8184985323343927,-0.9493747871587516,0.2543523795921263,x+G,x_use+G,0.9015804589043377,0.6132266275898048,,,-5.082862627372144,-7.391395606470113e-06,
C_x_le_0p05_G_gt_4200,main_upper_sensitivity,70,4204.313,10565.0317,6570.35310857143,-0.459,0.05,-0.16998571428571424,20.88259301344499,256.20145638583585,100.39522088351013,1.4286765828189563,1.3279351757683873,0.8772780972918671,0.0735487784385007,3.6053610399898135,0.8184985323343927,-0.9493747871587516,0.2543523795921263,Tsub+x+G,Tsub_K+x_use+G,0.9057804552686481,0.7661669863443266,-0.0020790004879977994,,-5.83601892923913,-1.8386916896449804e-05,
C_x_le_0p05_G_gt_4200,main_upper_sensitivity,70,4204.313,10565.0317,6570.35310857143,-0.459,0.05,-0.16998571428571424,20.88259301344499,256.20145638583585,100.39522088351013,1.4286765828189563,1.3279351757683873,0.8772780972918671,0.0735487784385007,3.6053610399898135,0.8184985323343927,-0.9493747871587516,0.2543523795921263,Tsub+x+Gx_pos,Tsub_K+x_use+Gx_pos,0.9043372086890453,0.6406614011473596,-0.001633086987569702,,-5.608270211392481,,-6.524977302373454e-05
ref_x_le_0p0_allG,reference_quality_sensitivity,151,782.54471,10565.0317,4210.357654238411,-0.459,-0.003,-0.1431788079470199,26.91818451033987,313.18434543454475,136.6413887772759,1.5643136696330235,1.5158593908629203,0.5683124411641468,0.0735487784385007,3.6053610399898135,0.5298588374215467,-0.8729354061150493,0.10244245725330016,Tsub,Tsub_K,0.28075038759371296,1.0228575455437063,0.003962607003152496,,,,
ref_x_le_0p0_allG,reference_quality_sensitivity,151,782.54471,10565.0317,4210.357654238411,-0.459,-0.003,-0.1431788079470199,26.91818451033987,313.18434543454475,136.6413887772759,1.5643136696330235,1.5158593908629203,0.5683124411641468,0.0735487784385007,3.6053610399898135,0.5298588374215467,-0.8729354061150493,0.10244245725330016,x,x_use,0.762016223249246,1.0219463843925245,,,-3.788041631420688,,
ref_x_le_0p0_allG,reference_quality_sensitivity,151,782.54471,10565.0317,4210.357654238411,-0.459,-0.003,-0.1431788079470199,26.91818451033987,313.18434543454475,136.6413887772759,1.5643136696330235,1.5158593908629203,0.5683124411641468,0.0735487784385007,3.6053610399898135,0.5298588374215467,-0.8729354061150493,0.10244245725330016,G,G,0.010494457048094152,1.469646929192606,,,,2.2484251508923412e-05,
ref_x_le_0p0_allG,reference_quality_sensitivity,151,782.54471,10565.0317,4210.357654238411,-0.459,-0.003,-0.1431788079470199,26.91818451033987,313.18434543454475,136.6413887772759,1.5643136696330235,1.5158593908629203,0.5683124411641468,0.0735487784385007,3.6053610399898135,0.5298588374215467,-0.8729354061150493,0.10244245725330016,Gx_pos,Gx_pos,0.0,1.5643136696330235,,,,,0.0
ref_x_le_0p0_allG,reference_quality_sensitivity,151,782.54471,10565.0317,4210.357654238411,-0.459,-0.003,-0.1431788079470199,26.91818451033987,313.18434543454475,136.6413887772759,1.5643136696330235,1.5158593908629203,0.5683124411641468,0.0735487784385007,3.6053610399898135,0.5298588374215467,-0.8729354061150493,0.10244245725330016,Tsub+x,Tsub_K+x_use,0.8064230417491819,0.8431818940820371,0.0017068948531434869,,-3.4076222544135986,,
ref_x_le_0p0_allG,reference_quality_sensitivity,151,782.54471,10565.0317,4210.357654238411,-0.459,-0.003,-0.1431788079470199,26.91818451033987,313.18434543454475,136.6413887772759,1.5643136696330235,1.5158593908629203,0.5683124411641468,0.0735487784385007,3.6053610399898135,0.5298588374215467,-0.8729354061150493,0.10244245725330016,Tsub+G,Tsub_K+G,0.3472397390915345,0.6997978279857561,0.004513319912444357,,,5.885712359026696e-05,
ref_x_le_0p0_allG,reference_quality_sensitivity,151,782.54471,10565.0317,4210.357654238411,-0.459,-0.003,-0.1431788079470199,26.91818451033987,313.18434543454475,136.6413887772759,1.5643136696330235,1.5158593908629203,0.5683124411641468,0.0735487784385007,3.6053610399898135,0.5298588374215467,-0.8729354061150493,0.10244245725330016,x+G,x_use+G,0.8209648295789204,1.2029362086085413,,,-4.214465194456879,-5.748790519305475e-05,
ref_x_le_0p0_allG,reference_quality_sensitivity,151,782.54471,10565.0317,4210.357654238411,-0.459,-0.003,-0.1431788079470199,26.91818451033987,313.18434543454475,136.6413887772759,1.5643136696330235,1.5158593908629203,0.5683124411641468,0.0735487784385007,3.6053610399898135,0.5298588374215467,-0.8729354061150493,0.10244245725330016,Tsub+x+G,Tsub_K+x_use+G,0.8320794883500496,1.0563080486724088,0.0009791197810496385,,-3.892381574846614,-4.348543157099356e-05,
ref_x_le_0p0_allG,reference_quality_sensitivity,151,782.54471,10565.0317,4210.357654238411,-0.459,-0.003,-0.1431788079470199,26.91818451033987,313.18434543454475,136.6413887772759,1.5643136696330235,1.5158593908629203,0.5683124411641468,0.0735487784385007,3.6053610399898135,0.5298588374215467,-0.8729354061150493,0.10244245725330016,Tsub+x+Gx_pos,Tsub_K+x_use+Gx_pos,0.8064230417491819,0.8431818940820371,0.0017068948531434869,,-3.4076222544135986,,0.0
ref_x_le_0p0_G_le_4200,reference_quality_sensitivity,94,782.54471,4109.3769,2534.606306276595,-0.457,-0.003,-0.10017021276595747,28.04836953301753,313.18434543454475,150.2553243994396,1.5062333239354926,1.4630602985805181,0.35644483276198013,0.8118979825986368,2.721081299499212,0.5753547782964402,-0.8891706951239159,-0.1259313290965676,Tsub,Tsub_K,0.331033120908546,1.125623353656315,0.002533088073919842,,,,
ref_x_le_0p0_G_le_4200,reference_quality_sensitivity,94,782.54471,4109.3769,2534.606306276595,-0.457,-0.003,-0.10017021276595747,28.04836953301753,313.18434543454475,150.2553243994396,1.5062333239354926,1.4630602985805181,0.35644483276198013,0.8118979825986368,2.721081299499212,0.5753547782964402,-0.8891706951239159,-0.1259313290965676,x,x_use,0.7906245250671479,1.172156768193508,,,-3.3350888105083456,,
ref_x_le_0p0_G_le_4200,reference_quality_sensitivity,94,782.54471,4109.3769,2534.606306276595,-0.457,-0.003,-0.10017021276595747,28.04836953301753,313.18434543454475,150.2553243994396,1.5062333239354926,1.4630602985805181,0.35644483276198013,0.8118979825986368,2.721081299499212,0.5753547782964402,-0.8891706951239159,-0.1259313290965676,G,G,0.015858699648028107,1.6320992871667284,,,,-4.965897974748431e-05,
ref_x_le_0p0_G_le_4200,reference_quality_sensitivity,94,782.54471,4109.3769,2534.606306276595,-0.457,-0.003,-0.10017021276595747,28.04836953301753,313.18434543454475,150.2553243994396,1.5062333239354926,1.4630602985805181,0.35644483276198013,0.8118979825986368,2.721081299499212,0.5753547782964402,-0.8891706951239159,-0.1259313290965676,Gx_pos,Gx_pos,0.0,1.5062333239354928,,,,,0.0
ref_x_le_0p0_G_le_4200,reference_quality_sensitivity,94,782.54471,4109.3769,2534.606306276595,-0.457,-0.003,-0.10017021276595747,28.04836953301753,313.18434543454475,150.2553243994396,1.5062333239354926,1.4630602985805181,0.35644483276198013,0.8118979825986368,2.721081299499212,0.5753547782964402,-0.8891706951239159,-0.1259313290965676,Tsub+x,Tsub_K+x_use,0.8623239986791725,1.0214237015905294,0.001267283483401261,,-2.9389328754675863,,
ref_x_le_0p0_G_le_4200,reference_quality_sensitivity,94,782.54471,4109.3769,2534.606306276595,-0.457,-0.003,-0.10017021276595747,28.04836953301753,313.18434543454475,150.2553243994396,1.5062333239354926,1.4630602985805181,0.35644483276198013,0.8118979825986368,2.721081299499212,0.5753547782964402,-0.8891706951239159,-0.1259313290965676,Tsub+G,Tsub_K+G,0.33104248815979886,1.122019063672867,0.0025361859923756845,,,1.2383821633871797e-06,
ref_x_le_0p0_G_le_4200,reference_quality_sensitivity,94,782.54471,4109.3769,2534.606306276595,-0.457,-0.003,-0.10017021276595747,28.04836953301753,313.18434543454475,150.2553243994396,1.5062333239354926,1.4630602985805181,0.35644483276198013,0.8118979825986368,2.721081299499212,0.5753547782964402,-0.8891706951239159,-0.1259313290965676,x+G,x_use+G,0.808180534884547,1.3042231771992745,,,-3.3387577506249175,-5.225029512085851e-05,
ref_x_le_0p0_G_le_4200,reference_quality_sensitivity,94,782.54471,4109.3769,2534.606306276595,-0.457,-0.003,-0.10017021276595747,28.04836953301753,313.18434543454475,150.2553243994396,1.5062333239354926,1.4630602985805181,0.35644483276198013,0.8118979825986368,2.721081299499212,0.5753547782964402,-0.8891706951239159,-0.1259313290965676,Tsub+x+G,Tsub_K+x_use+G,0.8671284380702229,1.1024684048293687,0.0011848244993700576,,-2.966688790189828,-2.8183910672803017e-05,
ref_x_le_0p0_G_le_4200,reference_quality_sensitivity,94,782.54471,4109.3769,2534.606306276595,-0.457,-0.003,-0.10017021276595747,28.04836953301753,313.18434543454475,150.2553243994396,1.5062333239354926,1.4630602985805181,0.35644483276198013,0.8118979825986368,2.721081299499212,0.5753547782964402,-0.8891706951239159,-0.1259313290965676,Tsub+x+Gx_pos,Tsub_K+x_use+Gx_pos,0.8623239986791725,1.0214237015905294,0.001267283483401261,,-2.9389328754675863,,0.0
ref_x_le_0p0_G_gt_4200,reference_quality_sensitivity,57,4678.9935,10565.0317,6973.877421052631,-0.459,-0.01,-0.21410526315789474,26.91818451033987,256.20145638583585,114.19033704949717,1.6600952923622851,1.6226707342925482,0.7994519961795111,0.0735487784385007,3.6053610399898135,0.7597485026626905,-0.9369614974950072,0.023667971252015554,Tsub,Tsub_K,0.5772177872981997,0.5287564829850261,0.009907482879981926,,,,
ref_x_le_0p0_G_gt_4200,reference_quality_sensitivity,57,4678.9935,10565.0317,6973.877421052631,-0.459,-0.01,-0.21410526315789474,26.91818451033987,256.20145638583585,114.19033704949717,1.6600952923622851,1.6226707342925482,0.7994519961795111,0.0735487784385007,3.6053610399898135,0.7597485026626905,-0.9369614974950072,0.023667971252015554,x,x_use,0.8778968477880872,0.5960796676677789,,,-4.969591167452217,,
