ExptNo_norm,Tsub,x,G_kg_m2s,PM_noF1_old86,PM_F1_old86,Tsub_F1,x_F1,G_kg_m2s_F1,x_le_005,in_current187
197.01,75.772394947606,-0.014,3240.84,0.69659049115203,0.929512548719569,75.772394947606,-0.014,3240.84,True,True
198.01,76.878750163887,-0.09,3254.4,0.861858417433762,1.16104620107071,76.878750163887,-0.09,3254.4,True,True
199.01,106.434461202638,-0.144,3390.0,0.928538823256703,1.04773045146135,106.434461202638,-0.144,3390.0,True,True
20.01,75.772394947606,-0.026,3905.28,0.840597088760723,1.13427786832708,75.772394947606,-0.026,3905.28,True,True
200.01,79.631918733112,-0.027,3390.0,0.708139661523008,0.919580960316308,79.631918733112,-0.027,3390.0,True,True
201.01,122.532052098694,-0.174,3403.56,0.958970960170796,1.03764757565525,122.532052098694,-0.174,3403.56,True,True
202.01,94.719875280992,-0.056,3403.56,0.754567084561213,0.901178259151924,94.719875280992,-0.056,3403.56,True,True
203.01,76.878750163887,-0.061,3457.8,0.766646659094598,1.02845685779345,76.878750163887,-0.061,3457.8,True,True
204.01,108.110241542381,-0.128,3471.36,0.873412553860801,0.994163921797078,108.110241542381,-0.128,3471.36,True,True
205.01,162.570583241961,-0.284,3593.4,1.08186031416469,1.10529378141807,162.570583241961,-0.284,3593.4,True,True
206.01,129.133044361492,-0.148,3593.4,0.87081555418995,0.936363742138291,129.133044361492,-0.148,3593.4,True,True
207.01,133.053567562251,-0.216,3606.96,1.00573144975648,1.05454516151399,133.053567562251,-0.216,3606.96,True,True
208.01,101.93499791303,-0.085,3606.96,0.785150784150249,0.924809835466923,101.93499791303,-0.085,3606.96,True,True
209.01,194.537139638245,-0.334,3647.64,1.09055516217134,1.09891173300182,194.537139638245,-0.334,3647.64,True,True
21.01,81.330299659951,-0.012,3918.84,0.81094972241118,1.0550140713223,81.330299659951,-0.012,3918.84,True,True
210.01,189.342041365477,-0.329,3647.64,1.09542319063704,1.11015751344328,189.342041365477,-0.329,3647.64,True,True
211.01,5.85325176878905,0.13,3701.88,0.136490246897863,0.716442256352328,5.85325176878905,0.13,3701.88,False,False
212.01,6.68922694467403,0.13,3769.68,0.149325050330052,0.721007830096133,6.68922694467403,0.13,3769.68,False,False
213.01,251.090091834417,-0.457,3783.24,1.16081559158642,1.17324474560018,251.090091834417,-0.457,3783.24,True,True
214.01,20.0607617856519,0.089,3905.28,0.348751204983534,0.848793008674952,20.0607617856519,0.089,3905.28,False,False
215.01,20.4455460392981,0.072,3973.08,0.385768018774864,0.930312012253597,20.4455460392981,0.072,3973.08,False,False
491.01,23.839287782165,0.083,2766.24,0.415395191948546,0.935639345838503,23.839287782165,0.083,2766.24,False,False
492.01,24.392929823915,0.082,2766.24,0.424319798882818,0.940127071081295,24.392929823915,0.082,2766.24,False,False
493.01,33.848400181536,0.049,2888.28,0.526675909158106,1.00981782578226,33.848400181536,0.049,2888.28,True,True
494.01,22.738171226726,0.081,2915.4,0.410128687951879,0.931414869909353,22.738171226726,0.081,2915.4,False,False
495.01,23.287694674756,0.077,2915.4,0.414144456421034,0.957287883962483,23.287694674756,0.077,2915.4,False,False
496.01,35.528781735237,0.037,2996.76,0.553250598930303,1.04347660681055,35.528781735237,0.037,2996.76,True,True
497.01,35.528781735237,0.034,3051.0,0.556828412264555,1.05180674213668,35.528781735237,0.034,3051.0,True,True
498.01,36.077880097391,0.033,3051.0,0.562793592043017,1.04384419093119,36.077880097391,0.033,3051.0,True,True
51.01,6.68922694467403,0.137,2752.68,0.154390911925375,0.74377527599154,6.68922694467403,0.137,2752.68,False,False
