No_TableNo,ExptNo,ExptNo_norm,PM,Tsub,x,G_kg_m2s,G_Mlb_ft2h,LD,old86_member,policy_class,high_PM,deep_subcooled,scope_A_Gle4200,scope_B_Gle4200_LDge40,scope_C_B_xgtm020,scope_D_old86like_lowX,q_M_MWm2_result,q_P_MWm2,dq_ratio_pct_result,log_message,x_band,LD_band,pred_Tsub_poly1,resid_Tsub_poly1,pred_Tsub_poly2,resid_Tsub_poly2,pred_Tsub_poly3,resid_Tsub_poly3,pred_Tsub_saturation,resid_Tsub_saturation,pred_Tsub_saturation_plus_logLD,resid_Tsub_saturation_plus_logLD,pred_Tsub_saturation_plus_x_DIAG_ONLY,resid_Tsub_saturation_plus_x_DIAG_ONLY,pred_Tsub_saturation_plus_logLD_plus_x_DIAG_ONLY,resid_Tsub_saturation_plus_logLD_plus_x_DIAG_ONLY,pred_Tsub_saturation_plus_xband_DIAG_ONLY,resid_Tsub_saturation_plus_xband_DIAG_ONLY
139.01_10,139.01,139.01,1.1335405436405428,76.56717653219835,-0.039,2820.9584,2.08,64.51612903225808,True,B_main_x>-0.20,False,False,True,True,True,True,4.28393322,4.856011991118581,-0.7370088098814819,収束 (|dq_ratio|<1%)  (f_solver=0),-0.10<x<=0,40<=LD<70,1.1296254081186348,0.003915135521908031,1.063478718971499,0.07006182466904387,1.0680443723089614,0.06549617133158137,1.1143679684147996,0.019172575225743227,1.1162437517029211,0.01729679193762168,1.1508953931136081,-0.017354849473065315,1.1547227706744607,-0.021182227033917922,1.1344935612476879,-0.0009530176071450569
14.01_10,14.01,14.01,1.3520841914432156,116.0762191069394,-0.048,3119.329,2.3000000000000003,80.0,True,B_main_x>-0.20,False,False,True,True,True,True,5.5205325,7.464224721598494,0.2070985207298266,収束 (|dq_ratio|<1%)  (f_solver=0),-0.10<x<=0,80<=LD<120,1.2796869782149916,0.07239721322822401,1.4568122201387923,-0.10472802869557674,1.4621722580660277,-0.11008806662281212,1.4495728575499491,-0.09748866610673357,1.4223097993966125,-0.07022560795339694,1.3885233545332072,-0.03643916308999162,1.3844102670318,-0.03232607558858436,1.3845367856046327,-0.0324525941614171
140.01_10,140.01,140.01,1.1661565613840124,77.67546587553511,-0.045,2834.5207,2.09,64.51612903225808,True,B_main_x>-0.20,False,False,True,True,True,True,4.2902424,5.0030943246878925,0.0034585697369281,収束 (|dq_ratio|<1%)  (f_solver=0),-0.10<x<=0,40<=LD<70,1.133834865704643,0.03232169567936927,1.0761328476605279,0.0900237137234845,1.080955467701187,0.08520109368282536,1.1269002302820432,0.03925633110196913,1.1289737341298947,0.0371828272541177,1.1725590003204693,-0.006402438936456978,1.1768052968649214,-0.010648735480909055,1.1443264105032074,0.021830150880804977
141.01_10,141.01,141.01,1.7657520451572235,128.8193242292905,-0.191,3417.6996,2.52,64.51612903225808,True,B_main_x>-0.20,False,False,True,True,True,True,6.2145423,10.973340775941075,0.3136504604718872,収束 (|dq_ratio|<1%)  (f_solver=0),-0.20<x<=-0.10,40<=LD<70,1.3280872997096327,0.4376647454475908,1.5583229297925045,0.20742911536471897,1.5610969569065192,0.20465508825070433,1.520084791408212,0.24566725374901144,1.574777566022525,0.19097447913469856,1.7362476060791443,0.029504439078079203,1.7380779179681312,0.027674127189092346,1.6064276028442617,0.15932444231296183
142.01_10,142.01,142.01,1.1602147592744096,73.21081352671627,-0.059,3451.60535,2.545,64.51612903225808,True,B_main_x>-0.20,False,False,True,True,True,True,4.731885,5.490002816189191,-0.0339942427337829,収束 (|dq_ratio|<1%)  (f_solver=0),-0.10<x<=0,40<=LD<70,1.1168774124803407,0.043337346794068976,1.024586150449246,0.1356286088251637,1.0282753241130553,0.1319394351613543,1.0750480049965154,0.08516675427789422,1.0767254547508078,0.08348930452360181,1.1660282257446757,-0.005813466470266038,1.1742337616721021,-0.014019002397692493,1.1034359169193912,0.0567788423550184
144.01_10,144.01,144.01,1.1978769026901763,70.92420249940028,-0.082,4068.69,3.0,64.51612903225808,True,B_main_x>-0.20,False,False,True,True,True,True,5.0157981,6.008308692547271,-0.708482856115632,収束 (|dq_ratio|<1%)  (f_solver=0),-0.10<x<=0,40<=LD<70,1.1081925034418703,0.08968439924830607,0.997598243006623,0.2002786596835533,1.0006035452931243,0.19727335739705198,1.0470404207871173,0.15083648190305898,1.048949236850374,0.14892766583980244,1.195363068136173,0.0025138345540032248,1.2078936684617392,-0.010016765771562852,1.0811275140882164,0.11674938860195994
145.01_10,145.01,145.01,1.784314835756727,128.29772162697628,-0.202,4109.3769,3.03,64.51612903225808,False,B_deep_x<=-0.20,False,True,True,True,False,False,7.255556999999999,12.946197996778569,0.3373720653237075,収束 (|dq_ratio|<1%)  (f_solver=0),x<=-0.20,40<=LD<70,1.3261061708244781,0.45820866493224877,1.5544106101888178,0.22990422556790913,1.5573096668586321,0.22700516889809474,1.5174687123093262,0.26684612344740066,1.5713874324365615,0.21292740332016535,1.7584011741434722,0.0259136616132547,1.7620995837530882,0.02221525200363872,1.9876484554553115,-0.20333361969858466
146.01_10,146.01,146.01,0.1135786841963328,21.424642698647403,0.043,4163.626099999999,3.069999999999999,64.51612903225808,False,B_main_x>-0.20,False,False,True,True,True,False,3.059952299999999,0.3475453559375421,-0.9729485283103984,収束 (|dq_ratio|<1%)  (f_solver=0),0<x<=0.05,40<=LD<70,0.9201853744731632,-0.8066066902768304,0.31576976738232015,-0.20219108318598736,0.28329472169573944,-0.16971603749940664,0.11075471256860425,0.0028239716277285443,0.23803076182240201,-0.12445207762606922,0.1653530376311206,-0.05177435343478781,0.14469458371170876,-0.031115899515375967,0.16398454047756472,-0.050405856281231926
15.01_10,15.01,15.01,1.4666255843196985,149.42602102406886,-0.071,3132.8913,2.31,80.0,True,B_main_x>-0.20,False,False,True,True,True,True,6.7508226,9.900929140363626,-0.3910424877074285,収束 (|dq_ratio|<1%)  (f_solver=0),-0.10<x<=0,80<=LD<120,1.4063547816328965,0.06027080268680196,1.6963069271496252,-0.2296813428299267,1.6931852825287752,-0.22655969820907673,1.6079312982898681,-0.14130571397016967,1.6304119336137683,-0.16378634929406988,1.5257685911878183,-0.059143006868119796,1.5113466527809665,-0.044721068461268,1.4903186412561626,-0.023693056936464174
150.01_10,150.01,150.01,1.0807270085888994,68.13071600661715,0.041,520.79232,0.384,66.84491978609627,False,B_main_x>-0.20,False,False,True,True,True,False,0.8517393,0.9204976657866032,-0.9326316078631304,収束 (|dq_ratio|<1%)  (f_solver=0),0<x<=0.05,40<=LD<70,1.0975824015049025,-0.01685539291600313,0.9640875417334711,0.11663946685542825,0.9661590572708834,0.114567951318016,1.0114218684632674,0.06930514012563194,1.003534752793608,0.07719225579529132,0.9054517716274881,0.17527523696141123,0.9022017594110808,0.17852524917781853,0.9493276933632295,0.13139931522566983
