x_lower_cut_keep_x_gt,condition,N,PM_mean,x_min,x_max,R2_PM_Tsub_poly1,RMSE_PM_Tsub_poly1,R2_PM_Tsub_poly2,RMSE_PM_Tsub_poly2,R2_PM_x_poly1,RMSE_PM_x_poly1,R2_PM_x_poly2,RMSE_PM_x_poly2,R2_PM_G_kg_m2s_poly1,RMSE_PM_G_kg_m2s_poly1,R2_PM_G_kg_m2s_poly2,RMSE_PM_G_kg_m2s_poly2
-0.3,G<=4200,110,1.3141698701720093,-0.285,0.049,0.45623623884668507,0.28282559265870316,0.7434772595568124,0.19425692548038706,0.7220721420999163,0.20219928497622197,0.7549852935592498,0.18984958483064146,0.03371878508218662,0.37702082876315157,0.03418332226075571,0.3769301919775242
-0.3,G>4200,49,0.9862926379074839,-0.275,0.05,0.5655398973334047,0.40615460102187706,0.6976111782744192,0.3388436049366259,0.8584023975364142,0.2318699012788366,0.8693484055394389,0.2227274701931602,0.08228196146887645,0.5902976594852537,0.12858128372371735,0.5752145578425969
-0.25,allG,154,1.1746497696686988,-0.227,0.05,0.520093757490715,0.3092191480880364,0.8569119385381109,0.16884565132707424,0.5642751406549051,0.2946417931670032,0.6013801607107483,0.2818172901709264,0.09057349241781254,0.42566896170171564,0.13089971700404268,0.4161243458158783
-0.25,G<=4200,107,1.288348750590027,-0.216,0.049,0.5315942929208661,0.2418682363280097,0.8561275963737796,0.1340468147022275,0.6886392528787348,0.19719671646323378,0.742768051368783,0.1792380468162303,0.04585488266643545,0.3452033208400527,0.04679819778438643,0.3450326360930174
-0.25,G>4200,47,0.9158031535286538,-0.227,0.05,0.7908135117731103,0.23856406057084187,0.8850198625321383,0.17686814275889326,0.8383477887192693,0.20971477488215381,0.8384163761367994,0.20967028022055295,0.029430534696129107,0.5138679312457297,0.08212312729456728,0.4997242413196958
-0.2,allG,146,1.1441108645959632,-0.191,0.05,0.5655367648982101,0.2886060476499578,0.8816303327300034,0.1506430586232347,0.538228888231352,0.29753789869396086,0.5660333591571709,0.288441061211344,0.18826064744656157,0.39449110201556703,0.2261218080388635,0.38518131868946875
-0.2,G<=4200,105,1.2782922943165245,-0.191,0.049,0.5528915665710041,0.2334013080052564,0.863388990361406,0.1290148510241345,0.6834747049885553,0.1963817228813703,0.7325569734021888,0.18051466674390682,0.07215972890915878,0.3362276799347407,0.072698992904902,0.33612995738444434
-0.2,G>4200,41,0.8004754957994044,-0.189,0.05,0.7856719210044707,0.21036153180846964,0.8873953694416769,0.15247720198819797,0.761652110397417,0.2218362138227885,0.7626447846158197,0.2213737787374376,0.006930520604728541,0.4528106222693221,0.04954533078138623,0.4429885419069155
-0.15,allG,137,1.1100238472525843,-0.149,0.05,0.5708503973996822,0.2812496484102089,0.8799650253319491,0.14874471141616455,0.49998018888009665,0.3035856481847419,0.5253287104388019,0.2957904260911003,0.23510350359624899,0.37548186531610106,0.27735276755374616,0.3649646512221902
-0.15,G<=4200,100,1.255019551239161,-0.149,0.049,0.5586517829358453,0.22657992316414904,0.8651354736178579,0.12525053878398457,0.6671571241224276,0.19676614171361992,0.7089562580281323,0.18399663040700256,0.0763165153972627,0.32778745339185356,0.07918446477244123,0.3272781833410538
-0.15,G>4200,37,0.718143566207782,-0.134,0.05,0.7245409423882624,0.2084302861402883,0.8757738757798081,0.1399712251411844,0.6597379404089272,0.23165360296628212,0.659775750072172,0.23164073202196064,0.01221934128991864,0.39469584553749654,0.0688920467065276,0.38320601221150735
-0.1,allG,114,1.0323397487383104,-0.093,0.05,0.5841128534231426,0.2697109400923237,0.9061375346326798,0.12813176018060635,0.46453000292779045,0.30604013481571246,0.4646541257711019,0.3060046624517132,0.2942011460081485,0.35135916641611664,0.31546526719702317,0.3460258610936144
-0.1,G<=4200,85,1.1860328400504554,-0.093,0.049,0.5800943520659896,0.20921405433239165,0.8902209507936446,0.10697313660932832,0.6041240223794029,0.2031395902262087,0.6285273861363687,0.1967788410757481,0.03555748724423757,0.31706855294037783,0.04429353070839748,0.3156292624816345
