ExptNo,Dia_in,Length_in,G_1e6_lb_hr_ft2,InletSubcool_BTUlb,BurnoutHF_1e6_BTU_hr_ft2,ExitQuality,flag,flag_norm,source,L_over_D,G_kg_m2_s,quality_bin,G_band_kg,G_band_raw,lowX_le_005,x_gt_005,x_pos_gt_005,flow_proxy_comment,Hsub_kJkg,qCHF_MW_m2,lowX_le_005_calc,G_le_4200,G_ge_1900,LD_ge_40,B_like_lowX,B_like_lowX_G1900_4200,x_band2,G_band2,LD_band2
572.09,0.436,18.0,0.255,510.0,0.801,0.019,J,J,source09,41.28440366972477,345.7335768245071,0<x<=0.05,G<1900,G<1.0,True,False,False,lowX: DNB bubble/slug proxy candidate; quality alone not flow-regime proof,1186.26,2.52682719075,True,True,False,True,True,False,0<x<=0.05,G<1900,40<=LD<60
575.09,0.436,18.0,0.258,601.0,0.88,-0.081,J,J,source09,41.28440366972477,349.8010306695013,x<=0,G<1900,G<1.0,True,False,False,lowX: DNB bubble/slug proxy candidate; quality alone not flow-regime proof,1397.926,2.77603986,True,True,False,True,True,False,-0.10<x<=0,G<1900,40<=LD<60
583.09,0.436,18.0,0.487,343.0,0.902,-0.08,J,J,source09,41.28440366972477,660.283340837392,x<=0,G<1900,G<1.0,True,False,False,lowX: DNB bubble/slug proxy candidate; quality alone not flow-regime proof,797.818,2.8454408565000002,True,True,False,True,True,False,-0.10<x<=0,G<1900,40<=LD<60
584.09,0.436,18.0,0.491,382.0,0.958,-0.129,J,J,source09,41.28440366972477,665.7066126307176,x<=0,G<1900,G<1.0,True,False,False,lowX: DNB bubble/slug proxy candidate; quality alone not flow-regime proof,888.532,3.0220979385,True,True,False,True,True,False,-0.20<x<=-0.10,G<1900,40<=LD<60
585.09,0.436,18.0,0.496,362.0,1.02,-0.048,J,J,source09,41.28440366972477,672.4857023723746,x<=0,G<1900,G<1.0,True,False,False,lowX: DNB bubble/slug proxy candidate; quality alone not flow-regime proof,842.0120000000001,3.217682565,True,True,False,True,True,False,-0.10<x<=0,G<1900,40<=LD<60
587.09,0.436,18.0,0.496,420.0,1.06,-0.145,J,J,source09,41.28440366972477,672.4857023723746,x<=0,G<1900,G<1.0,True,False,False,lowX: DNB bubble/slug proxy candidate; quality alone not flow-regime proof,976.9200000000001,3.3438661950000004,True,True,False,True,True,False,-0.20<x<=-0.10,G<1900,40<=LD<60
588.09,0.436,18.0,0.496,287.0,0.801,-0.044,J,J,source09,41.28440366972477,672.4857023723746,x<=0,G<1900,G<1.0,True,False,False,lowX: DNB bubble/slug proxy candidate; quality alone not flow-regime proof,667.562,2.52682719075,True,True,False,True,True,False,-0.10<x<=0,G<1900,40<=LD<60
590.09,0.436,18.0,0.5,477.0,1.24,-0.146,J,J,source09,41.28440366972477,677.9089741657002,x<=0,G<1900,G<1.0,True,False,False,lowX: DNB bubble/slug proxy candidate; quality alone not flow-regime proof,1109.502,3.9116925300000003,True,True,False,True,True,False,-0.20<x<=-0.10,G<1900,40<=LD<60
591.09,0.436,18.0,0.502,296.0,0.885,-0.011,J,J,source09,41.28440366972477,680.620610062363,x<=0,G<1900,G<1.0,True,False,False,lowX: DNB bubble/slug proxy candidate; quality alone not flow-regime proof,688.496,2.79181281375,True,True,False,True,True,False,-0.10<x<=0,G<1900,40<=LD<60
593.09,0.436,18.0,0.505,260.0,0.79,-0.004,J,J,source09,41.28440366972477,684.6880639073572,x<=0,G<1900,G<1.0,True,False,False,lowX: DNB bubble/slug proxy candidate; quality alone not flow-regime proof,604.76,2.4921266925000003,True,True,False,True,True,False,-0.10<x<=0,G<1900,40<=LD<60
594.09,0.436,18.0,0.506,446.0,1.1,-0.188,J,J,source09,41.28440366972477,686.0438818556886,x<=0,G<1900,G<1.0,True,False,False,lowX: DNB bubble/slug proxy candidate; quality alone not flow-regime proof,1037.396,3.4700498250000003,True,True,False,True,True,False,-0.20<x<=-0.10,G<1900,40<=LD<60
595.09,0.436,18.0,0.506,320.0,0.914,-0.047,J,J,source09,41.28440366972477,686.0438818556886,x<=0,G<1900,G<1.0,True,False,False,lowX: DNB bubble/slug proxy candidate; quality alone not flow-regime proof,744.32,2.8832959455,True,True,False,True,True,False,-0.10<x<=0,G<1900,40<=LD<60
596.09,0.436,18.0,0.506,223.0,0.702,0.013,J,J,source09,41.28440366972477,686.0438818556886,0<x<=0.05,G<1900,G<1.0,True,False,False,lowX: DNB bubble/slug proxy candidate; quality alone not flow-regime proof,518.698,2.2145227065,True,True,False,True,True,False,0<x<=0.05,G<1900,40<=LD<60
597.09,0.436,18.0,0.507,508.0,1.1,-0.323,J,J,source09,41.28440366972477,687.39969980402,x<=0,G<1900,G<1.0,True,False,False,lowX: DNB bubble/slug proxy candidate; quality alone not flow-regime proof,1181.608,3.4700498250000003,True,True,False,True,True,False,x<=-0.20,G<1900,40<=LD<60
598.09,0.436,18.0,0.508,217.0,0.7,0.023,J,J,source09,41.28440366972477,688.7555177523515,0<x<=0.05,G<1900,G<1.0,True,False,False,lowX: DNB bubble/slug proxy candidate; quality alone not flow-regime proof,504.742,2.208213525,True,True,False,True,True,False,0<x<=0.05,G<1900,40<=LD<60
601.09,0.436,18.0,0.509,595.0,1.13,-0.493,J,J,source09,41.28440366972477,690.1113357006828,x<=0,G<1900,G<1.0,True,False,False,lowX: DNB bubble/slug proxy candidate; quality alone not flow-regime proof,1383.97,3.5646875474999997,True,True,False,True,True,False,x<=-0.20,G<1900,40<=LD<60
602.09,0.436,18.0,0.509,552.0,1.2,-0.351,J,J,source09,41.28440366972477,690.1113357006828,x<=0,G<1900,G<1.0,True,False,False,lowX: DNB bubble/slug proxy candidate; quality alone not flow-regime proof,1283.952,3.7855089,True,True,False,True,True,False,x<=-0.20,G<1900,40<=LD<60
604.09,0.436,18.0,0.514,524.0,1.22,-0.285,J,J,source09,41.28440366972477,696.8904254423398,x<=0,G<1900,G<1.0,True,False,False,lowX: DNB bubble/slug proxy candidate; quality alone not flow-regime proof,1218.824,3.848600715,True,True,False,True,True,False,x<=-0.20,G<1900,40<=LD<60
