ANL_index,ANL_Run,ANL_Table,DIA_in,LENGTH_in,G_1e6,Hsub_BTUlb,qCHF_1e6,ANL_dh_exit_BTUlb,ANL_Note,match_status,TM_EXPT_NO,TM_Exit_Quality,TM_flag
72,8-17,ANL_Table_I_D0p304,0.304,18.0,0.71,544.0,1.28,-117.5,,MATCH_EXACT,324.09,-0.253,
73,8-19,ANL_Table_I_D0p304,0.304,18.0,0.705,404.0,1.0,-65.5,,MATCH_EXACT,322.09,-0.147,
74,8-20,ANL_Table_I_D0p304,0.304,18.0,0.687,299.0,0.86,-2.0,,MATCH_EXACT,317.09,-0.005,
75,8-21,ANL_Table_I_D0p304,0.304,18.0,0.683,216.0,0.72,34.0,,MATCH_EXACT,313.09,0.073,
76,8-22,ANL_Table_I_D0p304,0.304,18.0,0.673,112.0,0.545,79.5,,MATCH_EXACT,310.09,0.172,
77,8-23,ANL_Table_I_D0p304,0.304,18.0,0.673,68.5,0.48,100.5,,MATCH_EXACT,311.09,0.217,
78,8-24,ANL_Table_I_D0p304,0.304,18.0,0.69,42.5,0.434,102.5,,MATCH_EXACT,318.09,0.23,
79,8-25,ANL_Table_I_D0p304,0.304,18.0,0.69,557.0,1.29,-116.5,,MATCH_EXACT,319.09,-0.246,
80,8-26,ANL_Table_I_D0p304,0.304,18.0,0.705,489.0,1.14,-105.0,,MATCH_EXACT,323.09,-0.229,
81,8-27,ANL_Table_I_D0p304,0.304,18.0,0.695,407.0,1.0,-65.5,,MATCH_EXACT,320.09,-0.143,
82,8-28,ANL_Table_I_D0p304,0.304,18.0,0.685,306.0,0.86,-10.0,,MATCH_EXACT,314.09,-0.019,
83,8-29,ANL_Table_I_D0p304,0.304,18.0,0.682,208.0,0.707,37.0,,MATCH_EXACT,312.09,0.081,
84,8-30,ANL_Table_I_D0p304,0.304,18.0,0.685,119.0,0.57,77.0,,MATCH_EXACT,315.09,0.168,
