group,N,PM_noF1_min,PM_noF1_median,PM_noF1_max,PM_noF1_mean,PM_noF1_std,PM_noF1_nunique,Tsub_K_min,Tsub_K_median,Tsub_K_max,Tsub_K_mean,Tsub_K_std,Tsub_K_nunique,G_min,G_median,G_max,G_mean,G_std,G_nunique,x_Mes_input_min,x_Mes_input_median,x_Mes_input_max,x_Mes_input_mean,x_Mes_input_std,x_Mes_input_nunique,q_M_MWm2_input_min,q_M_MWm2_input_median,q_M_MWm2_input_max,q_M_MWm2_input_mean,q_M_MWm2_input_std,q_M_MWm2_input_nunique,q_P_MWm2_min,q_P_MWm2_median,q_P_MWm2_max,q_P_MWm2_mean,q_P_MWm2_std,q_P_MWm2_nunique,L_DNB_over_DH_input_min,L_DNB_over_DH_input_median,L_DNB_over_DH_input_max,L_DNB_over_DH_input_mean,L_DNB_over_DH_input_std,L_DNB_over_DH_input_nunique,DH_m_min,DH_m_median,DH_m_max,DH_m_mean,DH_m_std,DH_m_nunique,target,model,xcols,k,R2,adj_R2,intercept,beta_Tsub_K,std_beta_Tsub_K,beta_G,std_beta_G,beta_x_Mes_input,std_beta_x_Mes_input,beta_q_M_MWm2_input,std_beta_q_M_MWm2_input,beta_q_P_MWm2,std_beta_q_P_MWm2,beta_L_DNB_over_DH_input,std_beta_L_DNB_over_DH_input
all,187,0.0735487784385007,1.353475742387643,3.6053610399898135,1.3935848969264444,0.6391883038117517,187,20.88259301344499,103.58496549932198,313.18434543454475,120.90383303010442,76.57534053420035,143,520.79232,3404.1373,10565.0317,4003.4604137967913,2455.853015603202,142,-0.459,-0.056,0.05,-0.11041176470588236,0.13563449647873918,132,0.8517393,4.6687932,14.7634812,5.424393417593583,2.7504453271815223,142,0.2974833994253418,5.589295637960782,46.85855583854284,8.631791797011916,8.330097397030668,187,20.97902097902098,66.84491978609627,365.33333333333326,87.5520946435094,65.46587901436577,8,0.001905,0.0047497999999999,0.0077724,0.004689763636363579,0.001565186487759935,7,PM_noF1,Tsub_G_xMes_qM_DIAG,Tsub_K + G + x_Mes_input + q_M_MWm2_input,4,0.8706642133807228,0.8678216686198595,0.743894051742853,0.0019259494983929668,0.23073050275110962,-9.158673176298758e-05,-0.3518893416041024,-2.881228609008421,-0.611391024041781,0.0857936459579962,0.3691724820680229,,,,
G_lt_1900,38,0.939648075944587,1.4387295858289244,2.165236999903537,1.4550359143491152,0.3225979720605418,38,68.13071600661715,129.1073447435748,299.93981302215946,157.59884586627678,77.50711146458774,35,520.79232,1315.5431,1898.722,1362.1188934210531,321.9259545634156,28,-0.359,-0.057499999999999996,0.049,-0.07357894736842106,0.10013872312513421,37,0.8517393,3.083611725,5.331257099999999,3.011720279210526,0.9204021149720798,30,0.9204976657866032,4.544459220083404,11.440082611035605,4.608516878367181,2.3195942709420634,38,64.51612903225808,75.98039215686273,108.84955752212387,79.31529752807005,17.162959854295906,4,0.0047243999999999,0.0057404,0.0077724,0.005858042105263112,0.0013013348914868,4,PM_noF1,Tsub_only,Tsub_K,1,0.769479186733887,0.7630758308098283,0.879633668774216,0.0036510562143528083,0.8771996276412158,,,,,,,,,,
G_lt_1900,38,0.939648075944587,1.4387295858289244,2.165236999903537,1.4550359143491152,0.3225979720605418,38,68.13071600661715,129.1073447435748,299.93981302215946,157.59884586627678,77.50711146458774,35,520.79232,1315.5431,1898.722,1362.1188934210531,321.9259545634156,28,-0.359,-0.057499999999999996,0.049,-0.07357894736842106,0.10013872312513421,37,0.8517393,3.083611725,5.331257099999999,3.011720279210526,0.9204021149720798,30,0.9204976657866032,4.544459220083404,11.440082611035605,4.608516878367181,2.3195942709420634,38,64.51612903225808,75.98039215686273,108.84955752212387,79.31529752807005,17.162959854295906,4,0.0047243999999999,0.0057404,0.0077724,0.005858042105263112,0.0013013348914868,4,PM_noF1,G_only,G,1,5.2787627962902484e-05,-0.027723523826815866,1.4649530609062595,,,-7.2806761620026175e-06,-0.0072655094771637415,,,,,,,,
G_lt_1900,38,0.939648075944587,1.4387295858289244,2.165236999903537,1.4550359143491152,0.3225979720605418,38,68.13071600661715,129.1073447435748,299.93981302215946,157.59884586627678,77.50711146458774,35,520.79232,1315.5431,1898.722,1362.1188934210531,321.9259545634156,28,-0.359,-0.057499999999999996,0.049,-0.07357894736842106,0.10013872312513421,37,0.8517393,3.083611725,5.331257099999999,3.011720279210526,0.9204021149720798,30,0.9204976657866032,4.544459220083404,11.440082611035605,4.608516878367181,2.3195942709420634,38,64.51612903225808,75.98039215686273,108.84955752212387,79.31529752807005,17.162959854295906,4,0.0047243999999999,0.0057404,0.0077724,0.005858042105263112,0.0013013348914868,4,PM_noF1,xMes_only,x_Mes_input,1,0.9212118813276448,0.9190233224756349,1.227529880509146,,,,,-3.0919990292986,-0.9597978335710313,,,,,,
G_lt_1900,38,0.939648075944587,1.4387295858289244,2.165236999903537,1.4550359143491152,0.3225979720605418,38,68.13071600661715,129.1073447435748,299.93981302215946,157.59884586627678,77.50711146458774,35,520.79232,1315.5431,1898.722,1362.1188934210531,321.9259545634156,28,-0.359,-0.057499999999999996,0.049,-0.07357894736842106,0.10013872312513421,37,0.8517393,3.083611725,5.331257099999999,3.011720279210526,0.9204021149720798,30,0.9204976657866032,4.544459220083404,11.440082611035605,4.608516878367181,2.3195942709420634,38,64.51612903225808,75.98039215686273,108.84955752212387,79.31529752807005,17.162959854295906,4,0.0047243999999999,0.0057404,0.0077724,0.005858042105263112,0.0013013348914868,4,PM_noF1,qM_exp_only_DIAG,q_M_MWm2_input,1,0.6130108549591258,0.6022611564857681,0.6285551680091762,,,,,,,0.2744214833113879,0.7829500973619749,,,,
G_lt_1900,38,0.939648075944587,1.4387295858289244,2.165236999903537,1.4550359143491152,0.3225979720605418,38,68.13071600661715,129.1073447435748,299.93981302215946,157.59884586627678,77.50711146458774,35,520.79232,1315.5431,1898.722,1362.1188934210531,321.9259545634156,28,-0.359,-0.057499999999999996,0.049,-0.07357894736842106,0.10013872312513421,37,0.8517393,3.083611725,5.331257099999999,3.011720279210526,0.9204021149720798,30,0.9204976657866032,4.544459220083404,11.440082611035605,4.608516878367181,2.3195942709420634,38,64.51612903225808,75.98039215686273,108.84955752212387,79.31529752807005,17.162959854295906,4,0.0047243999999999,0.0057404,0.0077724,0.005858042105263112,0.0013013348914868,4,PM_noF1,qP_calc_only_DIAG,q_P_MWm2,1,0.8417762533222333,0.8373811492478509,0.8669928623350242,,,,,,,,,0.12759919677725862,0.9174836528910111,,
G_lt_1900,38,0.939648075944587,1.4387295858289244,2.165236999903537,1.4550359143491152,0.3225979720605418,38,68.13071600661715,129.1073447435748,299.93981302215946,157.59884586627678,77.50711146458774,35,520.79232,1315.5431,1898.722,1362.1188934210531,321.9259545634156,28,-0.359,-0.057499999999999996,0.049,-0.07357894736842106,0.10013872312513421,37,0.8517393,3.083611725,5.331257099999999,3.011720279210526,0.9204021149720798,30,0.9204976657866032,4.544459220083404,11.440082611035605,4.608516878367181,2.3195942709420634,38,64.51612903225808,75.98039215686273,108.84955752212387,79.31529752807005,17.162959854295906,4,0.0047243999999999,0.0057404,0.0077724,0.005858042105263112,0.0013013348914868,4,PM_noF1,LD_only,L_DNB_over_DH_input,1,0.026355695453772476,-0.0006899796725117202,1.21300901093897,,,,,,,,,,,0.0030514530103665327,0.16234437302774685
G_lt_1900,38,0.939648075944587,1.4387295858289244,2.165236999903537,1.4550359143491152,0.3225979720605418,38,68.13071600661715,129.1073447435748,299.93981302215946,157.59884586627678,77.50711146458774,35,520.79232,1315.5431,1898.722,1362.1188934210531,321.9259545634156,28,-0.359,-0.057499999999999996,0.049,-0.07357894736842106,0.10013872312513421,37,0.8517393,3.083611725,5.331257099999999,3.011720279210526,0.9204021149720798,30,0.9204976657866032,4.544459220083404,11.440082611035605,4.608516878367181,2.3195942709420634,38,64.51612903225808,75.98039215686273,108.84955752212387,79.31529752807005,17.162959854295906,4,0.0047243999999999,0.0057404,0.0077724,0.005858042105263112,0.0013013348914868,4,PM_noF1,Tsub_G,Tsub_K + G,2,0.7811680162254183,0.7686633314382993,0.7214553080658719,0.003710277105378707,0.8914279880132872,0.00010927476107291556,0.10904712619050892,,,,,,,,
G_lt_1900,38,0.939648075944587,1.4387295858289244,2.165236999903537,1.4550359143491152,0.3225979720605418,38,68.13071600661715,129.1073447435748,299.93981302215946,157.59884586627678,77.50711146458774,35,520.79232,1315.5431,1898.722,1362.1188934210531,321.9259545634156,28,-0.359,-0.057499999999999996,0.049,-0.07357894736842106,0.10013872312513421,37,0.8517393,3.083611725,5.331257099999999,3.011720279210526,0.9204021149720798,30,0.9204976657866032,4.544459220083404,11.440082611035605,4.608516878367181,2.3195942709420634,38,64.51612903225808,75.98039215686273,108.84955752212387,79.31529752807005,17.162959854295906,4,0.0047243999999999,0.0057404,0.0077724,0.005858042105263112,0.0013013348914868,4,PM_noF1,Tsub_xMes,Tsub_K + x_Mes_input,2,0.9592035749301476,0.9568723506404417,1.0787073832128622,0.0013210802846971605,0.31740161361112434,,,-2.284998752828683,-0.7092941595052757,,,,,,
G_lt_1900,38,0.939648075944587,1.4387295858289244,2.165236999903537,1.4550359143491152,0.3225979720605418,38,68.13071600661715,129.1073447435748,299.93981302215946,157.59884586627678,77.50711146458774,35,520.79232,1315.5431,1898.722,1362.1188934210531,321.9259545634156,28,-0.359,-0.057499999999999996,0.049,-0.07357894736842106,0.10013872312513421,37,0.8517393,3.083611725,5.331257099999999,3.011720279210526,0.9204021149720798,30,0.9204976657866032,4.544459220083404,11.440082611035605,4.608516878367181,2.3195942709420634,38,64.51612903225808,75.98039215686273,108.84955752212387,79.31529752807005,17.162959854295906,4,0.0047243999999999,0.0057404,0.0077724,0.005858042105263112,0.0013013348914868,4,PM_noF1,Tsub_qM_exp_DIAG,Tsub_K + q_M_MWm2_input,2,0.8458048726793708,0.8369937225467634,0.6507891634312536,0.0026558628879427915,0.6380953344983087,,,,,0.1280616356244397,0.365371795497207,,,,
