ExptNo,Dia_in,Length_in,G_1e6_lb_hr_ft2,InletSubcool_BTUlb,BurnoutHF_1e6_BTU_hr_ft2,ExitQuality,flag,flag_norm,source,L_over_D,G_kg_m2_s,quality_bin,G_band_kg,G_band_raw,lowX_le_005,x_gt_005,x_pos_gt_005,flow_proxy_comment
93.01,0.1805,9.4,0.0305,324.3,0.12,1.069,,none,source01,52.07756232686981,41.35244742410771,x>0.5,G<1900,G<1.0,False,True,True,x>0.05 but low G: not automatically annular; keep as possible bubbly/slug-side check
94.01,0.1805,9.4,0.0307,481.4,0.122,0.748,,none,source01,52.07756232686981,41.623611013773996,x>0.5,G<1900,G<1.0,False,True,True,x>0.05 but low G: not automatically annular; keep as possible bubbly/slug-side check
95.01,0.1805,9.4,0.0309,484.4,0.129,0.831,,none,source01,52.07756232686981,41.894774603440275,x>0.5,G<1900,G<1.0,False,True,True,x>0.05 but low G: not automatically annular; keep as possible bubbly/slug-side check
96.01,0.1805,9.4,0.0309,322.2,0.102,0.789,,none,source01,52.07756232686981,41.894774603440275,x>0.5,G<1900,G<1.0,False,True,True,x>0.05 but low G: not automatically annular; keep as possible bubbly/slug-side check
97.01,0.1805,9.4,0.0311,419.9,0.13,0.973,,none,source01,52.07756232686981,42.165938193106555,x>0.5,G<1900,G<1.0,False,True,True,x>0.05 but low G: not automatically annular; keep as possible bubbly/slug-side check
98.01,0.1805,9.4,0.0321,416.7,0.126,0.865,,none,source01,52.07756232686981,43.52175614143795,x>0.5,G<1900,G<1.0,False,True,True,x>0.05 but low G: not automatically annular; keep as possible bubbly/slug-side check
99.01,0.1805,9.4,0.0619,207.2,0.167,0.766,,none,source01,52.07756232686981,83.92513100171368,x>0.5,G<1900,G<1.0,False,True,True,x>0.05 but low G: not automatically annular; keep as possible bubbly/slug-side check
100.01,0.1805,9.4,0.063,497.3,0.271,0.861,,none,source01,52.07756232686981,85.41653074487823,x>0.5,G<1900,G<1.0,False,True,True,x>0.05 but low G: not automatically annular; keep as possible bubbly/slug-side check
101.01,0.1805,9.4,0.063,498.3,0.267,0.83,,none,source01,52.07756232686981,85.41653074487823,x>0.5,G<1900,G<1.0,False,True,True,x>0.05 but low G: not automatically annular; keep as possible bubbly/slug-side check
102.01,0.1805,9.4,0.063,419.9,0.23,0.735,,none,source01,52.07756232686981,85.41653074487823,x>0.5,G<1900,G<1.0,False,True,True,x>0.05 but low G: not automatically annular; keep as possible bubbly/slug-side check
103.01,0.1805,9.4,0.063,94.3,0.135,0.76,,none,source01,52.07756232686981,85.41653074487823,x>0.5,G<1900,G<1.0,False,True,True,x>0.05 but low G: not automatically annular; keep as possible bubbly/slug-side check
104.01,0.1805,9.4,0.0634,409.2,0.23,0.748,,none,source01,52.07756232686981,85.95885792421079,x>0.5,G<1900,G<1.0,False,True,True,x>0.05 but low G: not automatically annular; keep as possible bubbly/slug-side check
105.01,0.186,12.0,0.209,146.1,0.369,0.668,,none,source01,64.51612903225806,283.3659512012627,x>0.5,G<1900,G<1.0,False,True,True,x>0.05 but low G: not automatically annular; keep as possible bubbly/slug-side check
106.01,0.186,12.0,0.22,90.3,0.343,0.673,,none,source01,64.51612903225806,298.2799486329081,x>0.5,G<1900,G<1.0,False,True,True,x>0.05 but low G: not automatically annular; keep as possible bubbly/slug-side check
107.01,0.186,12.0,0.225,300.0,0.48,0.541,,none,source01,64.51612903225806,305.0590383745651,x>0.5,G<1900,G<1.0,False,True,True,x>0.05 but low G: not automatically annular; keep as possible bubbly/slug-side check
108.01,0.186,12.0,0.311,141.3,0.45,0.501,,none,source01,64.51612903225806,421.6593819310655,x>0.5,G<1900,G<1.0,False,True,True,x>0.05 but low G: not automatically annular; keep as possible bubbly/slug-side check
109.01,0.186,12.0,0.332,78.1,0.401,0.504,,none,source01,64.51612903225806,450.131558846025,x>0.5,G<1900,G<1.0,False,True,True,x>0.05 but low G: not automatically annular; keep as possible bubbly/slug-side check
110.01,0.186,12.0,0.407,135.2,0.52,0.42,,none,source01,64.51612903225806,551.8179049708799,0.15<x<=0.5,G<1900,G<1.0,False,True,True,x>0.05 but low G: not automatically annular; keep as possible bubbly/slug-side check
111.01,0.186,12.0,0.439,72.5,0.446,0.409,,none,source01,64.51612903225806,595.2040793174848,0.15<x<=0.5,G<1900,G<1.0,False,True,True,x>0.05 but low G: not automatically annular; keep as possible bubbly/slug-side check
112.01,0.186,12.0,0.445,192.3,0.61,0.348,,none,source01,64.51612903225806,603.3389870074732,0.15<x<=0.5,G<1900,G<1.0,False,True,True,x>0.05 but low G: not automatically annular; keep as possible bubbly/slug-side check
113.01,0.186,12.0,0.471,301.1,0.703,0.181,,none,source01,64.51612903225806,638.5902536640896,0.15<x<=0.5,G<1900,G<1.0,False,True,True,x>0.05 but low G: not automatically annular; keep as possible bubbly/slug-side check
114.01,0.186,12.0,0.553,191.2,0.695,0.287,,none,source01,64.51612903225806,749.7673254272645,0.15<x<=0.5,G<1900,G<1.0,False,True,True,x>0.05 but low G: not automatically annular; keep as possible bubbly/slug-side check
115.01,0.186,12.0,0.601,131.4,0.605,0.277,,none,source01,64.51612903225806,814.8465869471717,0.15<x<=0.5,G<1900,G<1.0,False,True,True,x>0.05 but low G: not automatically annular; keep as possible bubbly/slug-side check
116.01,0.186,12.0,0.618,294.7,0.805,0.089,,none,source01,64.51612903225806,837.8954920688054,0.05<x<=0.15,G<1900,G<1.0,False,True,True,x>0.05 but low G: not automatically annular; keep as possible bubbly/slug-side check
117.01,0.186,12.0,0.65,39.2,0.513,0.355,,none,source01,64.51612903225806,881.2816664154103,0.15<x<=0.5,G<1900,G<1.0,False,True,True,x>0.05 but low G: not automatically annular; keep as possible bubbly/slug-side check
118.01,0.186,12.0,0.807,192.3,0.781,0.124,,none,source01,64.51612903225806,1094.1450843034402,0.05<x<=0.15,G<1900,G<1.0,False,True,True,x>0.05 but low G: not automatically annular; keep as possible bubbly/slug-side check
120.01,0.186,12.0,1.03,184.3,0.849,0.061,,none,source01,64.51612903225806,1396.4924867813424,0.05<x<=0.15,G<1900,1.0<=G<1.6,False,True,True,x>0.05 but low G: not automatically annular; keep as possible bubbly/slug-side check
122.01,0.186,12.0,1.05,143.7,0.785,0.106,,none,source01,64.51612903225806,1423.6088457479705,0.05<x<=0.15,G<1900,1.0<=G<1.6,False,True,True,x>0.05 but low G: not automatically annular; keep as possible bubbly/slug-side check
123.01,0.186,12.0,1.078,58.6,0.63,0.199,,none,source01,64.51612903225806,1461.5717483012497,0.15<x<=0.5,G<1900,1.0<=G<1.6,False,True,True,x>0.05 but low G: not automatically annular; keep as possible bubbly/slug-side check
124.01,0.186,12.0,1.093,186.6,0.907,0.059,,none,source01,64.51612903225806,1481.9090175262206,0.05<x<=0.15,G<1900,1.0<=G<1.6,False,True,True,x>0.05 but low G: not automatically annular; keep as possible bubbly/slug-side check
