No_TableNo,ExptNo,ExptNo_norm,PM,Tsub,x,G_kg_m2s,G_Mlb_ft2h,LD,old86_member,policy_class,high_PM,deep_subcooled,scope_A_Gle4200,scope_B_Gle4200_LDge40,scope_C_B_xgtm020,scope_D_old86like_lowX,q_M_MWm2_result,q_P_MWm2,dq_ratio_pct_result,log_message
206.01_10,206.01,206.01,1.5944573105871214,128.8193242292905,-0.148,3594.0095,2.65,66.84491978609627,True,B_main_x>-0.20,False,False,True,True,True,True,6.940098,11.06568999229106,0.0797185592939539,収束 (|dq_ratio|<1%)  (f_solver=0)
207.01_10,207.01,207.01,1.84831057414112,132.74047859555014,-0.216,3607.5718,2.66,66.84491978609627,True,B_deep_x<=-0.20,False,True,True,True,False,True,6.2145423,11.486404246537276,-0.0505423161572815,収束 (|dq_ratio|<1%)  (f_solver=0)
208.01_10,208.01,208.01,1.340216247536809,101.6168218410382,-0.085,3607.5718,2.66,66.84491978609627,True,B_main_x>-0.20,False,False,True,True,True,True,6.2145423,8.328830561464768,-0.2532619080946829,収束 (|dq_ratio|<1%)  (f_solver=0)
209.01_10,209.01,209.01,2.2099410980435703,194.2074052316925,-0.334,3648.2587,2.69,66.84491978609627,True,B_deep_x<=-0.20,True,True,True,True,False,True,8.170388099999998,18.05607644915612,0.6965847198008253,収束 (|dq_ratio|<1%)  (f_solver=0)
21.01_10,21.01,21.01,1.09515482640457,81.01614510562172,-0.012,3919.5047,2.89,80.0,True,B_main_x>-0.20,False,False,True,True,True,True,5.425894799999999,5.942194877783458,-0.3037566195963467,収束 (|dq_ratio|<1%)  (f_solver=0)
210.01_10,210.01,210.01,2.17241176700994,189.0155585984569,-0.329,3648.2587,2.69,66.84491978609627,True,B_deep_x<=-0.20,False,True,True,True,False,True,7.949566799999999,17.26973245895155,-0.7233208980591322,収束 (|dq_ratio|<1%)  (f_solver=0)
213.01_10,213.01,213.01,2.4704383105441856,250.73285002387016,-0.457,3783.8817,2.79,66.84491978609627,True,B_deep_x<=-0.20,True,True,True,True,False,True,9.9685044,24.62657516858828,0.0077785423451693,収束 (|dq_ratio|<1%)  (f_solver=0)
216.01_10,216.01,216.01,0.4096557838363099,33.05916668560019,0.039,4258.5622,3.14,66.84491978609627,False,excluded_G>4200,False,False,False,False,False,False,4.0063293,1.6412159696978748,-0.8710704662668326,収束 (|dq_ratio|<1%)  (f_solver=0)
218.01_10,218.01,218.01,0.7226106288373948,48.40254580730039,0.002,4367.060600000001,3.2200000000000006,66.84491978609627,False,excluded_G>4200,False,False,False,False,False,False,4.810749749999999,3.476298902026839,-0.2082693410500273,収束 (|dq_ratio|<1%)  (f_solver=0)
219.01_10,219.01,219.01,1.0037325984653902,61.99880096014135,-0.054,4678.9935,3.45,66.84491978609627,False,excluded_G>4200,False,False,False,False,False,False,5.331257099999999,5.35115654207006,-0.2798032682499772,収束 (|dq_ratio|<1%)  (f_solver=0)
22.01_10,22.01,22.01,1.6518383942438954,309.87294321097545,-0.071,2264.9041,1.6700000000000002,365.33333333333326,False,B_main_x>-0.20,False,False,True,True,True,False,2.11672989,3.4964957025456576,0.0014149943996684,収束 (|dq_ratio|<1%)  (f_solver=0)
220.01_10,220.01,220.01,1.805670980123908,107.23353575437028,-0.205,4773.9296,3.5200000000000005,66.84491978609627,False,excluded_G>4200,False,True,False,False,False,False,6.3722718,11.50622626672194,0.7387216296483561,収束 (|dq_ratio|<1%)  (f_solver=0)
221.01_10,221.01,221.01,0.9475855904359736,59.17825318290045,-0.044,4787.4919,3.53,66.84491978609627,False,excluded_G>4200,False,False,False,False,False,False,5.3943489,5.111607287424143,0.5718266762542757,収束 (|dq_ratio|<1%)  (f_solver=0)
222.01_10,222.01,222.01,1.4031516678413471,90.48011757210315,-0.124,4882.428,3.6,66.84491978609627,False,excluded_G>4200,False,False,False,False,False,False,6.6877308,9.383900626093949,0.1794011604335802,収束 (|dq_ratio|<1%)  (f_solver=0)
224.01_10,224.01,224.01,1.70216312799015,105.00155807789524,-0.189,4963.8018,3.66,66.84491978609627,False,excluded_G>4200,False,False,False,False,False,False,6.7508226,11.4910013133226,-0.055546374177724,収束 (|dq_ratio|<1%)  (f_solver=0)
225.01_10,225.01,225.01,0.9572589335719176,68.13071600661715,-0.027,4963.8018,3.66,66.84491978609627,False,excluded_G>4200,False,False,False,False,False,False,6.7508226,6.462285242809201,0.524092840434758,収束 (|dq_ratio|<1%)  (f_solver=0)
228.01_10,228.01,228.01,2.2513188727177327,167.79934002889797,-0.334,5221.4855,3.85,66.84491978609627,False,excluded_G>4200,True,True,False,False,False,False,9.495315899999998,21.37698388808676,0.912124555996497,収束 (|dq_ratio|<1%)  (f_solver=0)
23.01_10,23.01,23.01,1.68347241906529,311.55670341994664,-0.083,2292.0287,1.69,365.33333333333326,False,B_main_x>-0.20,False,False,True,True,True,False,2.13250284,3.5900097147184007,0.9216566173836392,収束 (|dq_ratio|<1%)  (f_solver=0)
230.01_10,230.01,230.01,2.240059187883798,166.72139836705657,-0.336,5316.4216,3.92,66.84491978609627,False,excluded_G>4200,True,True,False,False,False,False,9.5268618,21.340734306789173,-0.1413026817787051,収束 (|dq_ratio|<1%)  (f_solver=0)
232.01_10,232.01,232.01,2.295350562373408,179.43354523161798,-0.362,5397.7954,3.98,66.84491978609627,False,excluded_G>4200,True,True,False,False,False,False,10.2208716,23.4604833750064,-0.5900666205868347,収束 (|dq_ratio|<1%)  (f_solver=0)
233.01_10,233.01,233.01,0.3079418029125836,31.979825654822093,0.033,5533.4184,4.079999999999999,66.84491978609627,False,excluded_G>4200,False,False,False,False,False,False,4.9527063,1.5251453073185113,0.5037386374146744,収束 (|dq_ratio|<1%)  (f_solver=0)
234.01_10,234.01,234.01,2.4970877438604004,227.8755003580036,-0.457,5574.1053,4.11,66.84491978609627,False,excluded_G>4200,True,True,False,False,False,False,12.6814518,31.666697864136417,-0.8362389381220255,収束 (|dq_ratio|<1%)  (f_solver=0)
235.01_10,235.01,235.01,0.3410502832492975,32.51873829915655,0.015,5587.6676,4.12,66.84491978609627,False,excluded_G>4200,False,False,False,False,False,False,4.6687932,1.5922932432923942,-0.1747688471418707,収束 (|dq_ratio|<1%)  (f_solver=0)
236.01_10,236.01,236.01,0.3589111087017025,31.979825654822093,-0.01,5791.102099999999,4.27,66.84491978609627,False,excluded_G>4200,False,False,False,False,False,False,4.1956047,1.5058491345510736,0.345819500183318,収束 (|dq_ratio|<1%)  (f_solver=0)
237.01_10,237.01,237.01,0.8331794513595565,53.10991238658369,-0.048,5899.6005,4.35,66.84491978609627,False,excluded_G>4200,False,False,False,False,False,False,5.8675374,4.888711591763678,0.5509515166047514,収束 (|dq_ratio|<1%)  (f_solver=0)
238.01_10,238.01,238.01,0.7367354335045094,47.51467456321086,-0.043,6021.6612,4.44,66.84491978609627,False,excluded_G>4200,False,False,False,False,False,False,5.457440699999999,4.020689939939652,0.4041452266810157,収束 (|dq_ratio|<1%)  (f_solver=0)
24.01_10,24.01,24.01,1.62968253543007,309.367819356026,-0.047,2603.9616,1.92,365.33333333333326,False,B_main_x>-0.20,False,False,True,True,True,False,2.47635315,4.035669480112241,0.9900037004756131,収束 (|dq_ratio|<1%)  (f_solver=0)
240.01_10,240.01,240.01,1.2759738082668592,68.13071600661715,-0.126,6197.971100000001,4.57,66.84491978609627,False,excluded_G>4200,False,False,False,False,False,False,5.9621751,7.607579267900841,0.8277253725144034,収束 (|dq_ratio|<1%)  (f_solver=0)
241.01_10,241.01,241.01,0.9981714874829908,60.88636491762702,-0.078,6211.5334,4.58,66.84491978609627,False,excluded_G>4200,False,False,False,False,False,False,6.3407259,6.329131803324924,0.0638524154735135,収束 (|dq_ratio|<1%)  (f_solver=0)
242.01_10,242.01,242.01,1.291635633621206,79.31866378958193,-0.124,6238.657999999999,4.6,66.84491978609627,False,excluded_G>4200,False,False,False,False,False,False,7.318648799999999,9.45302758003908,-0.4755516641116397,収束 (|dq_ratio|<1%)  (f_solver=0)
243.01_10,243.01,243.01,1.7335728165197444,94.95002945798046,-0.206,6428.5302,4.74,66.84491978609627,False,excluded_G>4200,False,True,False,False,False,False,7.192465199999999,12.468662154484246,-0.1956593057206671,収束 (|dq_ratio|<1%)  (f_solver=0)
244.01_10,244.01,244.01,2.3937970267096604,137.7296547398861,-0.336,6523.466299999999,4.81,66.84491978609627,False,excluded_G>4200,True,True,False,False,False,False,8.6120307,20.61545348359231,0.992207355697272,収束 (|dq_ratio|<1%)  (f_solver=0)
245.01_10,245.01,245.01,2.2498675411699054,150.5435811843293,-0.334,6984.584500000001,5.15,66.84491978609627,False,excluded_G>4200,True,True,False,False,False,False,10.7571519,24.202166895244176,0.0843405718334314,収束 (|dq_ratio|<1%)  (f_solver=0)
246.01_10,246.01,246.01,2.272600294731405,151.12937494316725,-0.338,7011.7091,5.17,66.84491978609627,False,excluded_G>4200,True,True,False,False,False,False,10.725606,24.375015356772927,-0.0222302180046204,収束 (|dq_ratio|<1%)  (f_solver=0)
247.01_10,247.01,247.01,0.2972374623748651,32.51873829915655,-0.018,7025.2714,5.18,66.84491978609627,False,excluded_G>4200,False,False,False,False,False,False,4.9211604,1.462753229235676,-0.1488495694647362,収束 (|dq_ratio|<1%)  (f_solver=0)
248.01_10,248.01,248.01,2.922337424121136,172.82163664490025,-0.457,7106.6452,5.24,66.84491978609627,False,excluded_G>4200,True,True,False,False,False,False,9.9685044,29.131333470636207,0.4420928145979636,収束 (|dq_ratio|<1%)  (f_solver=0)
249.01_10,249.01,249.01,2.5571823088638674,210.4080296850217,-0.456,7364.3289,5.430000000000001,66.84491978609627,False,excluded_G>4200,True,True,False,False,False,False,14.7634812,37.752912941884304,-0.0102285231443553,収束 (|dq_ratio|<1%)  (f_solver=0)
25.01_10,25.01,25.01,1.6320250904151847,310.99544826522856,-0.062,2698.8977,1.99,365.33333333333326,False,B_main_x>-0.20,False,False,True,True,True,False,2.54890872,4.159882984218053,-0.0081433929829587,収束 (|dq_ratio|<1%)  (f_solver=0)
250.01_10,250.01,250.01,1.17483170064288,64.79494459074817,-0.125,7391.453500000001,5.450000000000001,66.84491978609627,False,excluded_G>4200,False,False,False,False,False,False,6.6877308,7.856958149205767,-0.0477503930142848,収束 (|dq_ratio|<1%)  (f_solver=0)
252.01_10,252.01,252.01,1.6447866576986638,87.12621807254561,-0.202,7974.6324,5.88,66.84491978609627,False,excluded_G>4200,False,True,False,False,False,False,7.949566799999999,13.075341407124265,-0.5449421057529595,収束 (|dq_ratio|<1%)  (f_solver=0)
253.01_10,253.01,253.01,0.0735487784385007,28.616305905947684,-0.018,8340.8145,6.15,66.84491978609627,False,excluded_G>4200,False,False,False,False,False,False,5.173527599999999,0.3805066351978686,-0.3417624035763217,収束 (|dq_ratio|<1%)  (f_solver=0)
254.01_10,254.01,254.01,2.339446636001019,127.72429570818736,-0.333,8408.626,6.2,66.84491978609627,False,excluded_G>4200,True,True,False,False,False,False,9.810774899999998,22.95178433636823,-0.8978456474489535,収束 (|dq_ratio|<1%)  (f_solver=0)
