No_TableNo,P,Ts,rhoG,rhoL,HG,HL,muG,muL,KL,CPL,sigma,No,G,A,Pw,DH,L_DNB,q_in,Tin,Tf,f(beta),Re,f,f_left,f_rihgt,f_balance,DB,Tw,y_plus,Tm,Tw_balance,y_star,tauw,Utau,y_plus2,Q,Pr,T(y_plus),y_star_balance,delta,UB,LB,YB,YB_plus,Karman_UB,UBL,UB_left,CD,UB_right,UB_balance,HG-HL,LB/UB,q_P,dq_chf,dq_ratio,q_M,PM_ratio,F_form,x_Mes,A_corr,σ_corr,Fcorr,Tsub,q_P_MW,Tsub2,Fcorr2,(Tsub-40)^2,F2,L,_source,_table,_origin,_source_ExptNo,_flag_norm,_Hsub_kJkg,_L_over_D,_G_band2,_x_band2
342.09_10_source09,13789520,,,,,,,,,,,342.09,1369.3761278147144,,,0.0077215999999999995,0.4572,4511064.7725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4511064.7725,,1,-0.26,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,342.09,none,1060.656,59.21052631578947,G<1900,x<=-0.20
343.09_10_source09,13789520,,,,,,,,,,,343.09,1382.9343072980284,,,0.0077215999999999995,0.4572,4069422.0675000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4069422.0675000004,,1,-0.184,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,343.09,none,895.51,59.21052631578947,G<1900,-0.20<x<=-0.10
346.09_10_source09,13789520,,,,,,,,,,,346.09,1382.9343072980284,,,0.0077215999999999995,0.4572,2697175.09125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2697175.09125,,1,0.001,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,346.09,none,460.548,59.21052631578947,G<1900,0<x<=0.05
347.09_10_source09,13789520,,,,,,,,,,,347.09,1382.9343072980284,,,0.0077215999999999995,0.4572,2255532.38625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2255532.38625,,1,0.048,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,347.09,none,334.944,59.21052631578947,G<1900,0<x<=0.05
348.09_10_source09,13789520,,,,,,,,,,,348.09,1396.4924867813424,,,0.0077215999999999995,0.4572,4495291.818750001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4495291.818750001,,1,-0.268,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,348.09,none,1051.352,59.21052631578947,G<1900,x<=-0.20
349.09_10_source09,13789520,,,,,,,,,,,349.09,1410.0506662646565,,,0.0077215999999999995,0.4572,3154590.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3154590.75,,1,-0.065,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,349.09,none,600.1080000000001,59.21052631578947,G<1900,-0.10<x<=0
350.09_10_source09,13789520,,,,,,,,,,,350.09,1464.2833841979125,,,0.0077215999999999995,0.4572,4952707.477500001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4952707.477500001,,1,-0.293,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,350.09,none,1116.48,59.21052631578947,G<1900,x<=-0.20
354.09_10_source09,13789520,,,,,,,,,,,354.09,1654.0978969643086,,,0.0077215999999999995,0.4572,4321789.327500001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4321789.327500001,,1,-0.175,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,354.09,none,807.1220000000001,59.21052631578947,G<1900,-0.20<x<=-0.10
355.09_10_source09,13789520,,,,,,,,,,,355.09,1654.0978969643086,,,0.0077215999999999995,0.4572,4069422.0675000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4069422.0675000004,,1,-0.144,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,355.09,none,737.342,59.21052631578947,G<1900,-0.20<x<=-0.10
357.09_10_source09,13789520,,,,,,,,,,,357.09,1654.0978969643086,,,0.0077215999999999995,0.4572,4479518.865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4479518.865,,1,-0.173,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,357.09,none,828.056,59.21052631578947,G<1900,-0.20<x<=-0.10
