source,x_band2,G_band2,LD_band2,N,G_mean,G_min,G_max,LD_mean,Hsub_mean,Hsub_min,Hsub_max,qM_mean,qM_min,qM_max,x_mean,x_min,x_max
source01,0<x<=0.05,1900<=G<=4200,60<=LD<80,11,2937.1947007942977,2087.959640430357,4162.361101377399,73.07159267332634,252.81505454545456,142.8164,361.693,2.8227851592954547,2.52682719075,4.2965526015,0.035272727272727275,0.015,0.049
source01,0<x<=0.05,1900<=G<=4200,80<=LD<120,1,3633.592101528153,3633.592101528153,3633.592101528153,80.0,387.279,387.279,387.279,4.41642705,4.41642705,4.41642705,0.001,0.001,0.001
source01,0<x<=0.05,1900<=G<=4200,LD<40,1,3931.872050161061,3931.872050161061,3931.872050161061,20.97902097902098,38.6116,38.6116,38.6116,3.9432384375000002,3.9432384375000002,3.9432384375000002,0.042,0.042,0.042
source01,0<x<=0.05,G<1900,60<=LD<80,10,1319.8887727006183,520.6340921592578,1816.7960507640769,74.15329768270945,469.92178,392.8614,565.218,2.2088444431500003,0.8517395025000001,2.6435470485,0.027800000000000002,0.009,0.049
source01,0<x<=0.05,G<1900,80<=LD<120,1,1312.4317739847957,1312.4317739847957,1312.4317739847957,108.8495575221239,518.698,518.698,518.698,1.56783160275,1.56783160275,1.56783160275,0.001,0.001,0.001
source01,0<x<=0.05,G>4200,60<=LD<80,12,4717.116611902998,4203.035639827342,5585.96994712537,65.33159512583137,189.14256666666668,126.3018,292.84340000000003,3.879620857375,3.15459075,4.952707477500001,0.024666666666666667,0.002,0.05
source01,0<x<=0.05,G>4200,80<=LD<120,2,5280.910908750805,5206.340921592578,5355.480895909032,108.8495575221239,497.06620000000004,276.56140000000005,717.571,6.41959217625,3.6277793624999997,9.21140499,0.027000000000000003,0.025,0.029
source01,0<x<=0.05,G>4200,LD<40,1,5789.34263937508,5789.34263937508,5789.34263937508,20.97902097902098,58.382600000000004,58.382600000000004,58.382600000000004,5.015799292500001,5.015799292500001,5.015799292500001,0.013,0.013,0.013
source01,x<=-0.20,1900<=G<=4200,60<=LD<80,7,3490.262775561691,2047.2851019804148,4108.128383444143,66.5122353926908,924.8840571428573,673.1444,1196.9596000000001,7.552991567142857,6.2145437775,9.968506770000001,-0.30814285714285716,-0.457,-0.202
source01,x<=-0.20,1900<=G<=4200,LD<40,2,2508.2632044130905,2304.8905121633807,2711.635896662801,20.97902097902098,584.8727,479.3886,690.3568,7.77606619875,6.5930946675,8.95903773,-0.29700000000000004,-0.338,-0.256
source01,x<=-0.20,G<1900,60<=LD<80,3,1433.551510702401,1213.4570637566037,1871.0287686973325,66.84491978609626,1277.9044000000001,1112.7584,1401.415,4.8475544525,4.605702495,5.3312583675,-0.3233333333333333,-0.359,-0.285
source01,x<=-0.20,G>4200,60<=LD<80,18,7122.5636219009575,4772.479178126529,10521.147279051667,66.71554252199412,752.1121,460.548,1101.361,10.054381740416666,6.372273315,14.76348471,-0.33533333333333337,-0.459,-0.202
source01,x<=-0.20,G>4200,80<=LD<120,8,7250.236478702164,5260.573639525834,10494.03092008504,108.8495575221239,1005.7624000000001,668.0272,1219.7544,9.471658726874999,7.507925985,11.924353035,-0.370375,-0.449,-0.214
source01,x<=-0.20,G>4200,LD<40,3,7651.3326217502035,5179.224562625949,10141.518253518876,20.97902097902098,487.1419333333333,401.235,650.8148,12.797123142499998,12.681454814999999,12.99691389,-0.3136666666666667,-0.409,-0.257
source01,x>0.05,1900<=G<=4200,60<=LD<80,66,3094.243613142685,2006.6105635304723,4135.244742410771,68.41086385678418,129.4982878787879,11.862599999999999,287.7262,2.475827973625,1.6877060512500002,3.6908711775,0.09159090909090908,0.052,0.188
source01,x>0.05,G<1900,40<=LD<60,17,56.402026650586265,38.09848434811235,85.95885792421079,52.07756232686981,869.2672470588235,219.3418,1401.415,0.4722607916911765,0.227130534,0.8548940932500001,0.8366470588235293,0.735,1.069
source01,x>0.05,G<1900,60<=LD<80,104,920.3135792741045,225.0657794230125,1898.1451276639605,72.04129678038598,327.30845769230774,11.862599999999999,917.607,1.7697557433533655,0.53312583675,3.6277793624999997,0.28274038461538464,0.058,0.85
source01,x>0.05,G<1900,80<=LD<120,1,1312.4317739847957,1312.4317739847957,1312.4317739847957,108.8495575221239,749.4372,749.4372,749.4372,2.4448078312500003,2.4448078312500003,2.4448078312500003,0.057,0.057,0.057
source01,x>0.05,G<1900,LD<40,1,1599.8651790310523,1599.8651790310523,1599.8651790310523,20.97902097902098,121.8824,121.8824,121.8824,3.8801466225,3.8801466225,3.8801466225,0.076,0.076,0.076
source01,x>0.05,G>4200,60<=LD<80,8,5421.577020890188,4297.942896210539,7470.556895306016,66.84491978609626,84.7827,33.4944,213.0616,3.41366151534375,2.8075857675,4.30601637375,0.082,0.051,0.112
source01,x>0.05,G>4200,LD<40,1,7090.927869773225,7090.927869773225,7090.927869773225,20.97902097902098,1.6281999999999999,1.6281999999999999,1.6281999999999999,6.0252683325,6.0252683325,6.0252683325,0.065,0.065,0.065
source09,-0.10<x<=0,1900<=G<=4200,40<=LD<60,17,2208.388175840969,1979.4942045638445,2711.635896662801,48.66574828869258,349.1052352941177,212.829,514.046,3.2870835615000003,2.5236726000000003,4.54261068,-0.053647058823529416,-0.099,-0.008
