row_No_M,key,TableNo,ExptNo,tmA_No_TableNo,tmB_P_Pa,tmN_G_kg_m2s,tmQ_DH_m,tmR_L_DNB_m,tmBR_L_m,tmT_Tin_K,tmBE_qM_W_m2,tmBH_x_Mes,seed_tmS_q_in_W_m2,seed_tmX_f,seed_tmAC_Tw,seed_tmAG_y_star,seed_tmAP_UB,const_tmV_fbeta,const_tmBG_Fform,const_tmBI_Acorr,const_tmBJ_sigcorr,const_tmBK_Fcorr,const_tmBQ_F2,QA_Pressure_MPa,QA_Hsub_kJ_kg,QA_Tsat_K_IF97,QA_hf_sat_kJ_kg,QA_h_in_kJ_kg,QA_Tsub_K,QA_IF97_region,QA_Tin_lt_Tsat,prov_D_mm,prov_L_mm,prov_qCHF_MW_m2
25,T9_4.01,9,4.01,4.01_9,12065825.263044,2427.6517,0.0019049999999999998,0.15239999999999998,0.15239999999999998,488.09522208316866,4069421.0999999996,-0.029,4069421.0999999996,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,12.065825263044,570.3352,598.247237169232,1493.9908817339422,923.6556817339422,110.15201508606333,1,True,1.9049999999999998,152.39999999999998,4.0694211
26,T9_5.01,9,5.01,5.01_9,12065825.263044,2509.0255,0.0019049999999999998,0.15239999999999998,0.15239999999999998,457.535983568011,5110435.800000001,-0.046,5110435.800000001,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,12.065825263044,705.941,598.247237169232,1493.9908817339422,788.0498817339421,140.71125360122102,1,True,1.9049999999999998,152.39999999999998,5.1104358
27,T9_6.01,9,6.01,6.01_9,12065825.263044,2509.0255,0.0019049999999999998,0.15239999999999998,0.15239999999999998,458.12079612380074,5110435.800000001,-0.043,5110435.800000001,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,12.065825263044,703.3824,598.247237169232,1493.9908817339422,790.6084817339422,140.12644104543125,1,True,1.9049999999999998,152.39999999999998,5.1104358
28,T9_7.01,9,7.01,7.01_9,12065825.263044,2563.2747,0.0019049999999999998,0.15239999999999998,0.15239999999999998,477.56256686263964,4605701.399999999,-0.036,4605701.399999999,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,12.065825263044,617.553,598.247237169232,1493.9908817339422,876.4378817339422,120.68467030659235,1,True,1.9049999999999998,152.39999999999998,4.605701399999999
29,T9_8.01,9,8.01,8.01_9,12065825.263044,2576.837,0.0019049999999999998,0.15239999999999998,0.15239999999999998,490.87515158353324,3974783.4,-0.054,3974783.4,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,12.065825263044,557.7748,598.247237169232,1493.9908817339422,936.2160817339421,107.37208558569876,1,True,1.9049999999999998,152.39999999999998,3.9747833999999997
30,T9_9.01,9,9.01,9.01_9,12065825.263044,2590.3993,0.0019049999999999998,0.15239999999999998,0.15239999999999998,477.56256686263964,4542609.6,-0.047,4542609.6,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,12.065825263044,617.553,598.247237169232,1493.9908817339422,876.4378817339422,120.68467030659235,1,True,1.9049999999999998,152.39999999999998,4.5426096
31,T10_1.01,10,1.01,1.01_10,13789514.586336,2197.0926,0.0019049999999999998,0.15239999999999998,0.15239999999999998,520.9044911360295,3217681.8,-0.017,3217681.8,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,13.789514586336,487.297,608.6241187356576,1562.6001257440564,1075.3031257440564,87.7196275996281,1,True,1.9049999999999998,152.39999999999998,3.2176818
32,T10_10.01,10,10.01,10.01_10,13789514.586336,2454.7763,0.0019049999999999998,0.15239999999999998,0.15239999999999998,499.7089084337932,4037875.2,-0.055,4037875.2,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,13.789514586336,585.6868000000001,608.6241187356576,1562.6001257440564,976.9133257440564,108.91521030186436,1,True,1.9049999999999998,152.39999999999998,4.0378752
33,T10_11.01,10,11.01,11.01_10,13789514.586336,3037.9552000000003,0.0019049999999999998,0.15239999999999998,0.15239999999999998,495.82823677585077,5394348.899999999,-0.033,5394348.899999999,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,13.789514586336,603.3643999999999,608.6241187356576,1562.6001257440564,959.2357257440565,112.79588195980682,1,True,1.9049999999999998,152.39999999999998,5.3943489
34,T10_119.01,10,119.01,119.01_10,13789514.586336,1301.9808,0.004724399999999999,0.30479999999999996,0.30479999999999996,478.1306802195613,3265000.65,-0.033,3265000.65,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,13.789514586336,682.9136000000001,608.6241187356576,1562.6001257440564,879.6865257440563,130.49343851609626,1,True,4.724399999999999,304.79999999999995,3.2650006499999997
