scope,target,model,xcols,N,k,R2,adj_R2,intercept,beta_Tsub_K,std_beta_Tsub_K,beta_G,std_beta_G,beta_x_Mes_input,std_beta_x_Mes_input,beta_q_M_MWm2_input,std_beta_q_M_MWm2_input,beta_q_P_MWm2,std_beta_q_P_MWm2,beta_L_DNB_over_DH_input,std_beta_L_DNB_over_DH_input
Table9,ln_PM_noF1,Tsub_G_xMes,Tsub_K + G + x_Mes_input,30,3,0.9435526273153151,0.9370394689286207,0.1350520682144185,0.0008834558617105081,0.554575248399596,-5.449746742084736e-05,-0.22738572977176535,-3.1260299443016435,-0.4526461445108902,,,,,,
Table9,ln_PM_noF1,Tsub_G_xMes_qM_DIAG,Tsub_K + G + x_Mes_input + q_M_MWm2_input,30,4,0.9705680420272804,0.9658589287516453,0.048706710382007246,0.001274473902455117,0.800030552363294,-7.951855322435665e-05,-0.3317839362274317,-2.2287126087584204,-0.32271545300333815,0.03219201179802368,0.24648142154986682,,,,
Table10,PM_noF1,Tsub_only,Tsub_K,187,1,0.41828262042041153,0.4151382021524138,0.7408830189785405,0.005398520969847044,0.6467477254853022,,,,,,,,,,
Table10,PM_noF1,G_only,G,187,1,0.014823799150867512,0.00949852238952087,1.2667199188976324,,,3.168883039073113e-05,0.12175302522265054,,,,,,,,
Table10,PM_noF1,xMes_only,x_Mes_input,187,1,0.7739614273751342,0.7727395972528376,0.9358292930723002,,,,,-4.145895186745049,-0.8797507757172677,,,,,,
Table10,PM_noF1,qM_exp_only_DIAG,q_M_MWm2_input,187,1,0.37613079806842087,0.372758532112034,0.6204657467116538,,,,,,,0.1425263786559509,0.6132950334614009,,,,
Table10,PM_noF1,qP_calc_only_DIAG,q_P_MWm2,187,1,0.7201768129162597,0.7186642551482394,0.8315034326385823,,,,,,,,,0.06511758827204782,0.8486323190382625,,
Table10,PM_noF1,LD_only,L_DNB_over_DH_input,187,1,0.003818479804624353,-0.001566285169404713,1.3407615876108108,,,,,,,,,,,0.0006033357571936748,0.0617938492458938
Table10,PM_noF1,Tsub_G,Tsub_K + G,187,2,0.4783574137876184,0.4726873856766143,0.4346772053327977,0.005782011469628598,0.6926902363812033,6.490393695315571e-05,0.24937022210886953,,,,,,,,
Table10,PM_noF1,Tsub_xMes,Tsub_K + x_Mes_input,187,2,0.8276940554519557,0.8258211647503466,0.7353720629168906,0.002246691474763458,0.26915568343372764,,,-3.501250288901478,-0.742958400754862,,,,,,
Table10,PM_noF1,Tsub_qM_exp_DIAG,Tsub_K + q_M_MWm2_input,187,2,0.716069855513161,0.712983658290478,0.10953139717321861,0.004896261669439671,0.5865766041806635,,,,,0.12758600697266853,0.5490061920705516,,,,
Table10,PM_noF1,Tsub_G_xMes,Tsub_K + G + x_Mes_input,187,3,0.8509061604280816,0.848461999123624,0.9675805140655346,0.0014238943950102539,0.17058384443586772,-4.941605105941331e-05,-0.18986354614086146,-4.090916381056138,-0.8680843816638264,,,,,,
Table10,PM_noF1,Tsub_G_xMes_qM_DIAG,Tsub_K + G + x_Mes_input + q_M_MWm2_input,187,4,0.8706642133807228,0.8678216686198595,0.743894051742853,0.0019259494983929668,0.23073050275110962,-9.158673176298758e-05,-0.3518893416041024,-2.881228609008421,-0.611391024041781,0.0857936459579962,0.3691724820680229,,,,
Table10,ln_PM_noF1,Tsub_only,Tsub_K,187,1,0.39033607917284363,0.38704059851972394,-0.45444435215490225,0.005254052953777117,0.6247688205831369,,,,,,,,,,
Table10,ln_PM_noF1,G_only,G,187,1,0.0012201317031065306,-0.004178678395795554,0.21745991488839336,,,-9.159357705181856e-06,-0.03493038366675153,,,,,,,,
Table10,ln_PM_noF1,xMes_only,x_Mes_input,187,1,0.46914031239727116,0.46627080057239156,-0.178263900190947,,,,,-3.2519604233054236,-0.6849381814421439,,,,,,
Table10,ln_PM_noF1,qM_exp_only_DIAG,q_M_MWm2_input,187,1,0.18196365186372998,0.1775418337656962,-0.36096619736207003,,,,,,,0.0998742061194931,0.42657197735403346,,,,
Table10,ln_PM_noF1,qP_calc_only_DIAG,q_P_MWm2,187,1,0.40628027811928435,0.40307098232533456,-0.24454094088617576,,,,,,,,,0.04927502189444683,0.6374011908674821,,
Table10,ln_PM_noF1,LD_only,L_DNB_over_DH_input,187,1,0.0133691138119304,0.008035973886589498,0.08121199032076616,,,,,,,,,,,0.0011373662615907412,0.11562488405153211
Table10,ln_PM_noF1,Tsub_G,Tsub_K + G,187,2,0.39698968647228083,0.39043522654263174,-0.557111402984037,0.00538263261124604,0.6400584572987499,2.176149340485609e-05,0.08299024213925793,,,,,,,,
Table10,ln_PM_noF1,Tsub_xMes,Tsub_K + x_Mes_input,187,2,0.5723392320322431,0.567690745423898,-0.4581462261757092,0.00313687480985064,0.37301138616397655,,,-2.351894542405093,-0.49536346115223046,,,,,,
Table10,ln_PM_noF1,Tsub_qM_exp_DIAG,Tsub_K + q_M_MWm2_input,187,2,0.5201288245806163,0.5149128335434491,-0.874376077544106,0.004919984572025372,0.5850441526558551,,,,,0.08486144676456116,0.3624510927693634,,,,
Table10,ln_PM_noF1,Tsub_G_xMes,Tsub_K + G + x_Mes_input,187,3,0.6130775166876592,0.6067345251579487,-0.14822070288514066,0.0020386985193536714,0.2424252820949423,-6.595494439493263e-05,-0.2515276274373325,-3.138914012513663,-0.6611279891435644,,,,,,
Table10,ln_PM_noF1,Tsub_G_xMes_qM_DIAG,Tsub_K + G + x_Mes_input + q_M_MWm2_input,187,4,0.6444499058623372,0.6366356180790919,-0.43219343554662687,0.0026760636874279373,0.31821551257829983,-0.00011949114552771573,-0.4556947869501079,-1.6032004126444548,-0.3376711374635501,0.10891609547894268,0.46519072360431146,,,,
Table11,PM_noF1,Tsub_only,Tsub_K,30,1,0.8117507006295408,0.8050275113663101,1.1379864360128562,0.0024197396151790927,0.9009720864874456,,,,,,,,,,
Table11,PM_noF1,G_only,G,30,1,0.015956443167285617,-0.01918796957673985,1.7056470966303443,,,-5.6021686756883855e-05,-0.12631881557109964,,,,,,,,
Table11,PM_noF1,xMes_only,x_Mes_input,30,1,0.693442716077666,0.6824942416518684,1.2558815430901695,,,,,-6.193776120518855,-0.8327320794094978,,,,,,
Table11,PM_noF1,qM_exp_only_DIAG,q_M_MWm2_input,30,1,0.1870493427351435,0.15801539068997006,1.9563222863466623,,,,,,,-0.09801160800976369,-0.4324920146489914,,,,
Table11,PM_noF1,qP_calc_only_DIAG,q_P_MWm2,30,1,0.021758109137712367,-0.013179101250226477,1.4115620796002328,,,,,,,,,0.02158570990345807,0.14750630202710716,,
Table11,PM_noF1,LD_only,L_DNB_over_DH_input,30,1,0.6288008353999068,0.615543722378475,1.276743330754816,,,,,,,,,,,0.0016369053551679236,0.7929696308181715
Table11,PM_noF1,Tsub_G,Tsub_K + G,30,2,0.860769982065325,0.8504566474034971,1.405586878777624,0.0024820367863863406,0.9241679758189935,-9.872839777456899e-05,-0.22261475853515558,,,,,,,,
Table11,PM_noF1,Tsub_xMes,Tsub_K + x_Mes_input,30,2,0.9333389882191935,0.9284011354946893,1.1076695948336617,0.0016780309866522578,0.6248023835914992,,,-3.3084685226912076,-0.4448123114160487,,,,,,
Table11,PM_noF1,Tsub_qM_exp_DIAG,Tsub_K + q_M_MWm2_input,30,2,0.8312168411216582,0.8187143849084477,0.9246764308820512,0.0027033507600446186,1.0065725913259285,,,,,0.03965382120979656,0.17497887619441316,,,,
Table11,PM_noF1,Tsub_G_xMes,Tsub_K + G + x_Mes_input,30,3,0.9637204249978487,0.9595343201899081,1.3225800487163517,0.0017799851748467744,0.6627642688652355,-7.84984424254716e-05,-0.1769998521178615,-3.074634615752836,-0.4133741399722725,,,,,,
Table11,PM_noF1,Tsub_G_xMes_qM_DIAG,Tsub_K + G + x_Mes_input + q_M_MWm2_input,30,4,0.9801485827349964,0.9769723559725958,1.1710370839593263,0.0025152004511084674,0.9365162202386981,-0.0001388277276392482,-0.3130315265214729,-1.8974562127593326,-0.25510651771946546,0.06057486737829113,0.26729636378298,,,,
Table11,ln_PM_noF1,Tsub_only,Tsub_K,30,1,0.7608684490151087,0.7523280364799341,0.1568376947151756,0.00155985505353253,0.8722777361684226,,,,,,,,,,
