diagnostic,ExptNo,No_TableNo,ExptNo_norm,PM,fit,resid,abs_resid,Tsub,x,G_kg_m2s,G_band,scope_tag
old86_F1_Tsub_poly2,,54.01_10,54.01,1.06039345056342,0.9030984667687538,0.15729498379466622,0.15729498379466622,6.68922694467403,0.075,3403.56,,
old86_F1_Tsub_poly2,,52.01_10,52.01,1.07109227702067,0.9187982327650338,0.15229404425563609,0.15229404425563609,14.391786013197,0.061,3403.56,,
old86_F1_Tsub_poly2,,53.01_10,53.01,1.04868274053966,0.9019120429333791,0.1467706976062808,0.1467706976062808,6.11973609892596,0.079,3403.56,,
old86_F1_Tsub_poly2,,16.01_10,16.01,1.17167672238628,1.0272830647539255,0.14439365763235457,0.14439365763235457,80.747335277052,-0.027,3145.92,,
old86_F1_Tsub_poly2,,202.01_10,202.01,0.901178259151924,1.0440138149696545,-0.14283555581773055,0.14283555581773055,94.719875280992,-0.056,3403.56,,
old86_F1_Tsub_poly2,,206.01_10,206.01,0.936363742138291,1.0761513663336977,-0.1397876241954067,0.1397876241954067,129.133044361492,-0.148,3593.4,,
old86_F1_Tsub_poly2,,198.01_10,198.01,1.16104620107071,1.0222749014475636,0.1387712996231465,0.1387712996231465,76.878750163887,-0.09,3254.4,,
old86_F1_Tsub_poly2,,18.01_10,18.01,1.13826683364875,1.0091777331878806,0.1290891004608694,0.1290891004608694,67.303353633147,0.001,3634.08,,
old86_F1_x_poly2,,17.01_10,17.01,1.20830006084716,1.0238055214166868,0.18449453943047311,0.18449453943047311,75.772394947606,-0.026,3145.92,,
old86_F1_x_poly2,,206.01_10,206.01,0.936363742138291,1.0943946022976658,-0.15803086015937484,0.15803086015937484,129.133044361492,-0.148,3593.4,,
old86_F1_x_poly2,,16.01_10,16.01,1.17167672238628,1.0245838752764196,0.14709284710986048,0.14709284710986048,80.747335277052,-0.027,3145.92,,
old86_F1_x_poly2,,211.01_10,211.01,0.716442256352328,0.8619492990817961,-0.14550704272946802,0.14550704272946802,5.85325176878905,0.13,3701.88,,
old86_F1_x_poly2,,202.01_10,202.01,0.901178259151924,1.0457198834283157,-0.14454162427639172,0.14454162427639172,94.719875280992,-0.056,3403.56,,
old86_F1_x_poly2,,212.01_10,212.01,0.721007830096133,0.8619492990817961,-0.14094146898566307,0.14094146898566307,6.68922694467403,0.13,3769.68,,
old86_F1_x_poly2,,208.01_10,208.01,0.924809835466923,1.0640791342715277,-0.1392692988046047,0.1392692988046047,101.93499791303,-0.085,3606.96,,
old86_F1_x_poly2,,18.01_10,18.01,1.13826683364875,1.0015419121947673,0.13672492145398274,0.13672492145398274,67.303353633147,0.001,3634.08,,
old86_F1_x_poly2,,54.01_10,54.01,1.06039345056342,0.9281845557845925,0.13220889477882758,0.13220889477882758,6.68922694467403,0.075,3403.56,,
old86_F1_x_poly2,,10.01_10,10.01,1.17538420858668,1.0450372798206065,0.13034692876607346,0.13034692876607346,109.229609981511,-0.055,2454.36,,
old86_F1_x_poly2,,52.01_10,52.01,1.07109227702067,0.9434497023528237,0.12764257466784623,0.12764257466784623,14.391786013197,0.061,3403.56,,
old86_F1_x_poly2,,53.01_10,53.01,1.04868274053966,0.923704222954704,0.12497851758495593,0.12497851758495593,6.11973609892596,0.079,3403.56,,
